dockerfiles-laptop-clientapp-0-1,dockerfiles-laptop-supernode-0-1,dockerfiles-serverapp-1,dockerfiles-superlink-1,dockerfiles-desktop-clientapp-0-1,dockerfiles-desktop-clientapp-1-1,dockerfiles-desktop-supernode-0-1,dockerfiles-desktop-supernode-1-1
184320,1794048,67522560,66183168,34258944,31584256,30535680,35536896
184320,1794048,67522560,66183168,34258944,31584256,30535680,35536896
184320,1794048,67522560,66183168,34258944,31584256,30535680,35536896
184320,1794048,67522560,66183168,34258944,31584256,30535680,35536896
184320,1794048,81195008,66183168,34258944,31584256,30535680,35536896
184320,1794048,81195008,66297856,34258944,31584256,30535680,35536896
184320,1794048,390778880,66297856,34258944,31584256,30535680,35536896
184320,1794048,437727232,66297856,34258944,31584256,30535680,35536896
184320,1794048,437727232,66297856,34258944,31584256,30535680,35536896
184320,1794048,549359616,66297856,34258944,31584256,30535680,35536896
184320,1794048,661381120,66297856,34258944,31584256,30535680,35536896
184320,1794048,704589824,66297856,34258944,31584256,30535680,35536896
184320,1794048,712851456,66297856,34258944,31584256,30535680,35536896
184320,1794048,712851456,66297856,34258944,31584256,30535680,35536896
184320,1794048,732332032,66297856,34258944,31584256,30535680,35536896
184320,1794048,732360704,66297856,34258944,31584256,30535680,35536896
184320,1794048,750112768,66297856,34258944,31584256,30535680,35536896
184320,1896448,750112768,66297856,34258944,31584256,30535680,35536896
577536,1896448,750112768,66297856,34258944,31584256,30535680,35536896
602112,1896448,750112768,66297856,34258944,31584256,30642176,35659776
602112,1896448,750112768,66297856,34258944,33550336,30642176,35659776
610304,1896448,750112768,66297856,163074048,171909120,30642176,35659776
667648,1896448,750112768,66297856,163074048,211984384,30642176,35659776
667648,1896448,750112768,66297856,202432512,211984384,30642176,35659776
12050432,1896448,750112768,66297856,255049728,240582656,30642176,35659776
12050432,1896448,750112768,66297856,255049728,240582656,30642176,35659776
43028480,1896448,750112768,66297856,312102912,321085440,30642176,35659776
64000000,1896448,750112768,66297856,344711168,364822528,30642176,35659776
64000000,1896448,750112768,66297856,344711168,369684480,30642176,35659776
224866304,1896448,750112768,66297856,347377664,369684480,30642176,35659776
237985792,1896448,750112768,66297856,347394048,370638848,30642176,35659776
237985792,1896448,750112768,66297856,347394048,391626752,30642176,35659776
254091264,1896448,750112768,66297856,357879808,391626752,30642176,35659776
254128128,1896448,750112768,66297856,368381952,402112512,30642176,35659776
254128128,1896448,750112768,66297856,378867712,412102656,30642176,35659776
262430720,1896448,750112768,66297856,378867712,412102656,30642176,35659776
262430720,1896448,750112768,66297856,378867712,433074176,30642176,35659776
285151232,1896448,750112768,66297856,378867712,443559936,30642176,35659776
285224960,1896448,750112768,66297856,388857856,443559936,30642176,35659776
285224960,1896448,750112768,66297856,420315136,594354176,30642176,35659776
302972928,1896448,750112768,66297856,420315136,613462016,30642176,35659776
302972928,1896448,750112768,66297856,565039104,613462016,30642176,35659776
302972928,1896448,750112768,66297856,565039104,632061952,30642176,35659776
302972928,1896448,750112768,66297856,588275712,632061952,30642176,35659776
302972928,1896448,750112768,66297856,590303232,660889600,30642176,35659776
302972928,1896448,750112768,66297856,590311424,664961024,30642176,35659776
302972928,1896448,750112768,66297856,590311424,664961024,30642176,35659776
302972928,1896448,750112768,66297856,608108544,682708992,30642176,35659776
302972928,1896448,750112768,66297856,608108544,682708992,30642176,35659776
302972928,1896448,750112768,66297856,625856512,682708992,30642176,35659776
302972928,1896448,750112768,66297856,625856512,682708992,30642176,35659776
302972928,1896448,750112768,66297856,625856512,682708992,30642176,35659776
302972928,1896448,750112768,66297856,625856512,682708992,30642176,35659776
302972928,1896448,750112768,66297856,625856512,682708992,30642176,35659776
302972928,1896448,750112768,66297856,625856512,682708992,30642176,35659776
302972928,1896448,750112768,66297856,625856512,682708992,30642176,35659776
302972928,1896448,750112768,66297856,625856512,682708992,30642176,35659776
302972928,1896448,750112768,66297856,625856512,682708992,30642176,35659776
302972928,1896448,750112768,66297856,625856512,682708992,30642176,35659776
302972928,1896448,750112768,66297856,625856512,682708992,30642176,35659776
302972928,1896448,750112768,66297856,625856512,682708992,30642176,35659776
302972928,1896448,750112768,66297856,625856512,682708992,30642176,35659776
302972928,1896448,750112768,66297856,625856512,682708992,30642176,35659776
302972928,1896448,750112768,66297856,625856512,682708992,30642176,35659776
302972928,1896448,750112768,66297856,625856512,682708992,30642176,35659776
302972928,1896448,750112768,66297856,625856512,682708992,30642176,35659776
302972928,1896448,750112768,66297856,625856512,682708992,30642176,35659776
302972928,1896448,750112768,66297856,625856512,682708992,30642176,35659776
302972928,1896448,750112768,66297856,625856512,682708992,30642176,35659776
302972928,1896448,750112768,66297856,625856512,682708992,30642176,35659776
302972928,1896448,750112768,66297856,625856512,682708992,30642176,35659776
302972928,1896448,750112768,66297856,625856512,682708992,30642176,35659776
302972928,1896448,750112768,66297856,625856512,682708992,30642176,35659776
302972928,1896448,750112768,66297856,625856512,682708992,30642176,35659776
302972928,1896448,750112768,66297856,625856512,682708992,30642176,35659776
302972928,1896448,750112768,66297856,625856512,682708992,30642176,35659776
302972928,1896448,750112768,66297856,625856512,682708992,30642176,35659776
302972928,1896448,750112768,66297856,625856512,682708992,30642176,35659776
302972928,1896448,750112768,66297856,625856512,682708992,30642176,35659776
302972928,1896448,750112768,66297856,625856512,682708992,30642176,35659776
302972928,1896448,750112768,66297856,625856512,682708992,30642176,35659776
302972928,1896448,750112768,66297856,625856512,682708992,30642176,35659776
302972928,1896448,750112768,66297856,625856512,682708992,30642176,35659776
302972928,1896448,750112768,66297856,625856512,682708992,30642176,35659776
302972928,1896448,750112768,66297856,625856512,682708992,30642176,35659776
302972928,1896448,750112768,66297856,625856512,682708992,30642176,35659776
302972928,1896448,750112768,66297856,625856512,682708992,30642176,35659776
302972928,1896448,750112768,66297856,625856512,682708992,30642176,35659776
302972928,1896448,750112768,66297856,625856512,682708992,30642176,35659776
302972928,1896448,750112768,66297856,625856512,682708992,30642176,35659776
302972928,1896448,750112768,66297856,625856512,682708992,30642176,35659776
302972928,1896448,750112768,66297856,625856512,682708992,30642176,35659776
302972928,1896448,750112768,66297856,625856512,682708992,30642176,35659776
302972928,1896448,750112768,66297856,625856512,682708992,30642176,35659776
302972928,1896448,750112768,66297856,625856512,682708992,30642176,35659776
302972928,1896448,750112768,66297856,625856512,682708992,30642176,35659776
302972928,1896448,750112768,66297856,625856512,682708992,30642176,35659776
302972928,1896448,750112768,66297856,625856512,682708992,30642176,35659776
302972928,1896448,750112768,66297856,625856512,682708992,30642176,35659776
302972928,1896448,750112768,66297856,625856512,682708992,30642176,35659776
302972928,1896448,750112768,66297856,625856512,682708992,30642176,35659776
302972928,1896448,750112768,66297856,625856512,682708992,30642176,35659776
302972928,1896448,750112768,66297856,625856512,682708992,30642176,35659776
302972928,1896448,750112768,66297856,625856512,682708992,30642176,35659776
302972928,1896448,750112768,66297856,625856512,682708992,30642176,35659776
302972928,1896448,750112768,66297856,625856512,682708992,30642176,35659776
302972928,1896448,750112768,66297856,625856512,682708992,30642176,35659776
302972928,1896448,750112768,66297856,625856512,682708992,30642176,35659776
302972928,1896448,750112768,66297856,625856512,682708992,30642176,35659776
302972928,1896448,750112768,66297856,625856512,682708992,30642176,35659776
302972928,1896448,750112768,66297856,625856512,682708992,30642176,35659776
302972928,1896448,750112768,66297856,625856512,682708992,30642176,35659776
302972928,1896448,750112768,66297856,625856512,682708992,30642176,35659776
