dockerfiles-laptop-clientapp-0-1,dockerfiles-laptop-clientapp-1-1,dockerfiles-laptop-supernode-0-1,dockerfiles-laptop-supernode-1-1,dockerfiles-serverapp-1,dockerfiles-superlink-1,dockerfiles-desktop-clientapp-0-1,dockerfiles-desktop-clientapp-1-1,dockerfiles-desktop-clientapp-2-1,dockerfiles-desktop-supernode-0-1,dockerfiles-desktop-supernode-1-1,dockerfiles-desktop-supernode-2-1
0,0,0,141.55349999999999,0,804.7475,100.2354,193.83059999999998,147.033,139.7604,206.32049999999998,319.6782
125.226,125.226,157.4343333333333,152.02333333333334,822.8584999999999,701.884,158.21529999999998,196.4141,196.4141,215.12635,269.4564,361.98525
183.4572,148.7364,326.2113,321.2847,12844.788,12436.7325,217.0086,252.34113333333332,252.34113333333332,435.3302333333333,443.20843333333335,385.07686666666666
242.24200000000002,242.24200000000002,440.3276428571429,388.30628571428576,12630.010714285714,12068.280714285715,283.56390000000005,309.90465000000006,276.00525000000005,481.00500000000005,519.71445,578.2367250000001
310.77777777777777,320,489.5555555555556,484.8888888888889,12507.064,12404.666666666668,285.11111111111114,339.7777777777778,354.44444444444446,582,563.6666666666667,537.8888888888889
330.7777777777778,321.5555555555556,527,562.6666666666667,11851,12301.666666666668,303.33333333333337,359.8888888888889,369.11111111111114,537.8888888888889,585.4444444444445,628.4444444444445
393,360.11111111111114,525.1111111111112,539.7777777777778,54277.38838888889,12322.555555555557,341.6666666666667,359.8888888888889,365.33333333333337,552.5555555555555,526.7777777777778,591.1111111111112
389.22222222222223,341.8888888888889,553.4444444444445,608.5555555555555,1762255.3379444445,1697.4444444444446,370.7777777777778,328.6666666666667,11628.111111111111,581.8888888888889,595.5555555555555,798665.6954222224
418.5555555555556,321.5555555555556,554.4444444444445,599.3333333333334,3508677.6556666666,1856917.1808888887,297.6666666666667,11652,1901273.0900666667,442.6666666666667,769551.335488889,1912911.5436444443
414.00000000000006,292.44444444444446,498.6666666666667,465.5555555555556,3509144.056777778,1866290.9154444446,1901033.1841777777,1872902.8319777779,1901283.8856666668,1910231.2132000003,1926792.1034444447,1912900.8118888892
1842344.4915555557,1842245.7143333335,1846134.864111111,1846134.7202222226,3509243.9621666665,1908937.3059444441,1901046.031977778,1901192.0682888888,1901280.737488889,1912919.0271111114,1927303.0818888887,1912892.2058888893
1842342.7557777779,1842273.2513333333,1846161.326388889,1846128.198888889,1865693.3333333335,1909000.2213333335,1901037.212666667,1901186.992955556,1901276.6330888893,1912916.371733334,1927297.3224888893,1153228.5555555557
1844080.0226666664,1846744.752888889,1846164.15,1846133.7559444446,1075.888888888889,1908999.5368888888,1904546.3088444443,1902676.2728222224,3091.3333333333335,1912917.0998666668,1927303.1995111112,47.111111111111114
3292072.319,3994691.9382222216,1846160.6987222226,1846127.838888889,1016.4444444444446,45779.88888888889,2620853.1047333335,104263.77777777778,440896.1111111111,2805.3333333333335,548,14.000000000000002
1821148.888888889,4850585.888888889,42.44444444444445,9.333333333333334,1126.111111111111,252.66666666666669,2362698.5555555555,1058768.1111111112,1339550.777777778,35.22222222222222,14.000000000000002,61.77777777777778
1896164.2222222222,5388062.111111112,9.333333333333334,9.333333333333334,1188.3333333333335,313.33333333333337,3352562,1810643.4444444445,3106704.888888889,18.666666666666668,14.000000000000002,61.77777777777778
2272661.5555555555,5827198,0,0,1262.4444444444446,399.5555555555556,4209508.444444445,2900943,3721551.3333333335,14.000000000000002,14.000000000000002,61.77777777777778
1895250.3333333335,6721651.000000001,0,0,1103,248.00000000000003,6015388.222222223,3809395.888888889,4554527.777777778,0,0,47.77777777777778
1325698.3333333335,4586929.222222223,40.44444444444445,33.111111111111114,1135.888888888889,520.2222222222223,6385346.111111112,4175990.0000000005,3913894.1111111115,40.44444444444445,47.77777777777778,52.44444444444445
1567489,4483660.444444445,40.44444444444445,33.111111111111114,1195.3333333333335,707.6666666666667,5013809.333333334,4696446.555555556,3289164,40.44444444444445,47.77777777777778,4.666666666666667
2891943.888888889,3962541.888888889,40.44444444444445,33.111111111111114,952.0000000000001,621.4444444444445,5230293.222222223,5007336.666666667,2438514.666666667,40.44444444444445,47.77777777777778,4.666666666666667
3258060.555555556,4357766.555555556,40.44444444444445,33.111111111111114,1059,621.4444444444445,4237349.333333334,5484221.333333334,2970697.3333333335,40.44444444444445,52.44444444444445,4.666666666666667
3705184.2222222225,4618660.333333334,0,33.111111111111114,1168.6666666666667,533.5555555555555,3437332.1111111115,4750847.777777778,3535234.666666667,40.44444444444445,52.44444444444445,0
3755180.2222222225,4116479.3333333335,0,0,1212.6666666666667,276.77777777777777,2969598.555555556,3721885.888888889,4208531.888888889,0,4.666666666666667,0
3447542.2222222225,3731165.4444444445,0,0,991.5555555555557,309.8888888888889,3401517.3333333335,2339895.5555555555,3677250.777777778,0,4.666666666666667,33.111111111111114
4444136.666666667,3728340.1111111115,0,0,1031.7777777777778,396.33333333333337,3751655.0000000005,2962027,3319656.888888889,0,0,33.111111111111114
3149487.8861969328,1862370.3045121138,0,0,1146.3658590797954,396.42142698377415,3750588.2222222225,3550162.2222222225,3973169.0000000005,0,0,33.111111111111114
3082943,671559,0,0,1253.111111111111,396.33333333333337,2516707.888888889,3766502.666666667,2913821.888888889,0,40.44444444444445,33.111111111111114
4462515.45474761,0,0,0,969.979986657772,467.20035579275077,568601.6666666667,3749693.666666667,3748359.555555556,33.111111111111114,40.44444444444445,0
3747646.0000000005,7.333333333333334,33.111111111111114,33.111111111111114,976.6666666666667,622.6666666666667,0,1878110.888888889,3747736.888888889,33.111111111111114,40.44444444444445,0
3745857.0000000005,29.333333333333336,33.111111111111114,33.111111111111114,1274.888888888889,708.5555555555557,7.333333333333334,1306263,2135615.3333333335,37.77777777777778,40.44444444444445,0
3467034.666666667,36.66666666666667,37.77777777777778,33.111111111111114,1242,636,22,336183,1868565.1111111112,37.77777777777778,0,0
1864255.3333333335,41.333333333333336,37.77777777777778,33.111111111111114,1037.3333333333335,542.3333333333334,36.66666666666667,0,0,4.666666666666667,0,0
1506599.2222222222,41.333333333333336,4.666666666666667,33.111111111111114,1137,353.44444444444446,41.333333333333336,14.666666666666668,0,4.666666666666667,0,0
0,34,4.666666666666667,0,1170.111111111111,402.22222222222223,41.333333333333336,29.333333333333336,7.333333333333334,4.666666666666667,0,40.44444444444445
7.333333333333334,4.666666666666667,0,0,1122.3333333333335,395.6666666666667,34,29.333333333333336,29.333333333333336,0,33.111111111111114,40.44444444444445
36.66666666666667,0,0,0,1098.5555555555557,327.6666666666667,4.666666666666667,29.333333333333336,36.66666666666667,0,33.111111111111114,40.44444444444445
36.650377609951136,29.320302087960908,33.09640159928921,0,1152.932030208796,505.66414926699247,0,14.666666666666668,36.66666666666667,40.44444444444445,33.111111111111114,45.111111111111114
36.66666666666667,36.66666666666667,33.111111111111114,0,1304.4444444444446,678.3333333333334,7.333333333333334,7.333333333333334,29.333333333333336,40.44444444444445,37.77777777777778,4.666666666666667
29.339853300733495,36.67481662591687,33.11847077128251,33.11847077128251,1256.9459879973326,730.0511224716604,7.333333333333334,0,7.333333333333334,40.44444444444445,37.77777777777778,4.666666666666667
7.333333333333334,36.66666666666667,33.111111111111114,33.111111111111114,1142.3333333333335,647.2222222222223,36.66666666666667,0,0,40.44444444444445,4.666666666666667,4.666666666666667
0,29.333333333333336,33.111111111111114,33.111111111111114,1175.2222222222224,537,36.66666666666667,22,24.666666666666668,0,4.666666666666667,0
0,7.331704065763163,0,33.10375472117307,983.7813819151298,256.83181515218837,29.333333333333336,29.333333333333336,46.66666666666667,0,4.666666666666667,0
7.333333333333334,0,0,33.111111111111114,1076.3333333333335,341.44444444444446,29.333333333333336,38.66666666666667,54.00000000000001,0,0,0
36.67889296432144,7.335778592864289,0,0,1076.6922307435811,253.75125041680562,0,38.66666666666667,63.333333333333336,0,0,40.44444444444445
46.020453534904405,29.34637616718542,0,0,1249.8888394842152,253.77945753668297,0,16.666666666666668,38.66666666666667,0,40.44444444444445,40.44444444444445
46,36.66666666666667,0,0,1142.3333333333335,473.00000000000006,7.333333333333334,9.333333333333334,38.66666666666667,0,40.44444444444445,40.44444444444445
38.66666666666667,46,0,0,1110.3333333333335,480.33333333333337,36.66666666666667,9.333333333333334,16.666666666666668,33.111111111111114,40.44444444444445,40.44444444444445
16.666666666666668,38.66666666666667,33.111111111111114,0,1063.888888888889,496.8888888888889,46,0,0,33.111111111111114,40.44444444444445,40.44444444444445
9.333333333333334,38.66666666666667,33.111111111111114,33.111111111111114,1063.888888888889,788.3333333333334,46,22,0,33.111111111111114,0,0
0,9.335407868415203,33.11847077128251,33.11847077128251,1127.1393643031786,559.9022004889976,38.66666666666667,29.333333333333336,0,37.77777777777778,0,0
29.333333333333336,0,37.77777777777778,33.111111111111114,1028.2222222222224,489.11111111111114,16.666666666666668,29.333333333333336,29.333333333333336,37.77777777777778,0,0
