dockerfiles-laptop-clientapp-0-1,dockerfiles-laptop-clientapp-1-1,dockerfiles-laptop-clientapp-2-1,dockerfiles-laptop-supernode-0-1,dockerfiles-laptop-supernode-1-1,dockerfiles-laptop-supernode-2-1,dockerfiles-serverapp-1,dockerfiles-superlink-1,dockerfiles-desktop-clientapp-0-1,dockerfiles-desktop-clientapp-1-1,dockerfiles-desktop-clientapp-2-1,dockerfiles-desktop-clientapp-3-1,dockerfiles-desktop-supernode-0-1,dockerfiles-desktop-supernode-1-1,dockerfiles-desktop-supernode-2-1,dockerfiles-desktop-supernode-3-1
12288,172032,24576,12288,2015232,12288,67006464,65298432,1990656,2068480,5623808,58445824,33292288,163840,27770880,5447680
12288,172032,24576,12288,2015232,12288,67006464,65413120,1990656,2068480,5623808,58445824,33292288,163840,27770880,5447680
12288,172032,24576,12288,2015232,12288,415744000,65413120,1990656,2068480,5623808,58445824,33292288,163840,27770880,5447680
12288,172032,24576,12288,2015232,12288,672870400,65413120,1990656,2068480,5623808,58445824,33292288,163840,27770880,5447680
12288,172032,24576,12288,2015232,12288,712331264,65413120,1990656,2068480,5623808,58445824,33292288,163840,27770880,5447680
12288,172032,24576,12288,2015232,12288,749584384,65413120,1990656,2068480,5623808,58445824,33292288,311296,27770880,5447680
147456,172032,442368,118784,2121728,118784,749584384,65413120,1990656,326651904,5623808,58445824,33423360,311296,27901952,5578752
155648,315392,450560,118784,2121728,118784,749584384,65413120,2244608,514084864,5844992,58679296,33423360,311296,27901952,5578752
237568,389120,528384,118784,2121728,118784,749584384,65413120,16330752,619167744,16920576,70336512,33423360,311296,27901952,5578752
41701376,11755520,528384,118784,2121728,118784,749584384,65413120,17006592,619253760,17068032,70742016,33423360,311296,27901952,5578752
62672896,11755520,11014144,118784,2121728,118784,749584384,65413120,17006592,619253760,17068032,70742016,33423360,311296,27901952,5578752
223715328,22257664,11014144,118784,2121728,118784,749584384,65413120,27492352,629739520,38055936,81227776,33423360,311296,27901952,5578752
238252032,42733568,21516288,118784,2121728,118784,749584384,65413120,37994496,640241664,38055936,81227776,33423360,311296,27901952,5578752
269348864,53219328,32002048,118784,2121728,118784,749584384,65413120,37994496,640241664,48541696,91729920,33423360,311296,27901952,5578752
287096832,195403776,41992192,118784,2121728,118784,749584384,65413120,48480256,650727424,48541696,91729920,33423360,311296,27901952,5578752
287096832,227856384,73449472,118784,2121728,118784,749584384,65413120,48480256,660717568,58531840,102215680,33423360,311296,27901952,5578752
287096832,238379008,221364224,118784,2121728,118784,749584384,65413120,58470400,671203328,69017600,112205824,33423360,311296,27901952,5578752
287096832,247881728,237359104,118784,2121728,118784,749584384,65413120,68956160,671203328,79503360,122691584,33423360,311296,27901952,5578752
287096832,265629696,246857728,118784,2121728,118784,749584384,65413120,79441920,692174848,89989120,133177344,33423360,311296,27901952,5578752
287096832,265629696,264605696,118784,2121728,118784,749584384,65413120,234979328,836993024,240881664,216420352,33423360,311296,27901952,5578752
287096832,265629696,264605696,118784,2121728,118784,749584384,65413120,245608448,848072704,282144768,288727040,33423360,311296,27901952,5578752
287096832,265629696,264605696,118784,2121728,118784,749584384,65413120,263532544,848306176,297103360,317444096,33423360,311296,27901952,5578752
287096832,265629696,264605696,118784,2121728,118784,749584384,65413120,281280512,866082816,314851328,335273984,33423360,311296,27901952,5578752
287096832,265629696,264605696,118784,2121728,118784,749584384,65413120,281280512,883912704,314851328,335278080,33423360,311296,27901952,5578752
287096832,265629696,264605696,118784,2121728,118784,749584384,65413120,281280512,883912704,314851328,335278080,33423360,311296,27901952,5578752
287096832,265629696,264605696,118784,2121728,118784,749584384,65413120,281280512,883912704,314851328,335278080,33423360,311296,27901952,5578752
287096832,265629696,264605696,118784,2121728,118784,749584384,65413120,281280512,883912704,314851328,335278080,33423360,311296,27901952,5578752
287096832,265629696,264605696,118784,2121728,118784,749584384,65413120,281280512,883912704,314851328,335278080,33423360,311296,27901952,5578752
287096832,265629696,264605696,118784,2121728,118784,749584384,65413120,281280512,883912704,314851328,335278080,33423360,311296,27901952,5578752
287096832,265629696,264605696,118784,2121728,118784,749584384,65413120,281280512,883912704,314851328,335278080,33423360,311296,27901952,5578752
287096832,265629696,264605696,118784,2121728,118784,749584384,65413120,281280512,883912704,314851328,335278080,33423360,311296,27901952,5578752
287096832,265629696,264605696,118784,2121728,118784,749584384,65413120,281280512,883912704,314851328,335278080,33423360,311296,27901952,5578752
287096832,265629696,264605696,118784,2121728,118784,749584384,65413120,281280512,883912704,314851328,335278080,33423360,311296,27901952,5578752
287096832,265629696,264605696,118784,2121728,118784,749584384,65413120,281280512,883912704,314851328,335278080,33423360,311296,27901952,5578752
287096832,265629696,264605696,118784,2121728,118784,749584384,65413120,281280512,883912704,314851328,335278080,33423360,311296,27901952,5578752
287096832,265629696,264605696,118784,2121728,118784,749584384,65413120,281280512,883912704,314851328,335278080,33423360,311296,27901952,5578752
287096832,265629696,264605696,118784,2121728,118784,749584384,65413120,281280512,883912704,314851328,335278080,33423360,311296,27901952,5578752
287096832,265629696,264605696,118784,2121728,118784,749584384,65413120,281280512,883912704,314851328,335278080,33423360,311296,27901952,5578752
287096832,265629696,264605696,118784,2121728,118784,749584384,65413120,281280512,883912704,314851328,335278080,33423360,311296,27901952,5578752
287096832,265629696,264605696,118784,2121728,118784,749584384,65413120,281280512,883912704,314851328,335278080,33423360,311296,27901952,5578752
