dockerfiles-laptop-clientapp-0-1,dockerfiles-laptop-supernode-0-1,dockerfiles-serverapp-1,dockerfiles-superlink-1,dockerfiles-desktop-clientapp-0-1,dockerfiles-desktop-clientapp-1-1,dockerfiles-desktop-supernode-0-1,dockerfiles-desktop-supernode-1-1
0,0,8.043,510.539,0,132.75959999999998,247.09199999999998,96.95219999999999
98.52699999999999,184.22799999999998,6.121499999999999,563.32375,98.0798,143.871,247.6747,71.62610000000001
126.846,274.833,833.5035,504.3825,126.91400000000002,167.30813333333336,325.33653333333336,218.48313333333334
192.1765,258.77475,793.895375,474.911875,118.43550000000002,231.52230000000003,410.83110000000005,257.5017
220.038,333.9609,12935.6682,12240.1461,185.50136000000003,221.57784000000004,393.1848800000001,246.44136000000003
214.365,373.87100000000004,12780.106833333333,11924.571750000001,214.9482,249.9452666666667,466.1940333333334,338.6202666666667
277.25114285714284,462.00985714285713,12681.279285714287,11699.1615,210.21274285714284,278.6648571428571,455.9234571428571,421.69739999999996
273.24475,455.333625,12561.012125,11813.1550625,273.95675,322.3823,543.934875,508.3546
305.33333333333337,533.6666666666667,12524.222222222223,11778.555555555557,308,315.11111111111114,531.6666666666667,496.8888888888889
312.06975000000006,545.4406875000001,12732.924999999997,11735.6623125,308,325.33333333333337,549,539.7777777777778
239.7593149733858,556.468410090257,13044.613654246701,11819.254802129139,292.22222222222223,292.44444444444446,577.3333333333334,593.8888888888889
289.2848877574636,515.3899560286972,12321.106225410786,12113.16824809072,306.8888888888889,321.5555555555556,617.7777777777778,575.4444444444445
285.31759805623057,515.3303251185932,13465.579081337502,12166.724516950137,354.44444444444446,317.77777777777777,524.2222222222223,573.5555555555555
292.9877343207591,488.7757463550105,1202.2679935200185,733.1636195325157,336.22222222222223,356.11111111111114,578.3333333333334,611.1111111111112
292.9877343207591,594.6540152742422,1016044.068514233,1152.858134691044,303.33333333333337,323.22222222222223,498.6666666666667,517.5555555555555
273.9789424968183,519.0327432604421,1844237.605657758,1152.7247483512672,11678.548399999998,191314.97059999997,1567411.1438,1900563.8795999999
338.5790326313354,617.3339504744273,3551315.565366813,1001.9671372367509,1887601.507,1887494.582,1903114.5705999997,1900558.4345999998
304.32770192085167,534.3670446655867,3551315.565366813,1001.9671372367509,1887599.1177999997,1887494.582,1903114.5705999997,1901075.6578
354.460425,444.52443750000003,3696540.7082375,1973921.6812,1887599.1177999997,1887505.6738,1903105.7530000003,1901085.9377999997
380,426.11111111111114,3660468.896211111,1954768.5225222223,1887595.8706,1887505.6738,1903101.2913999998,1901082.7236
1922271.554416176,1923375.9374513945,3660264.8780357735,1961400.4024330627,1887593.0457999997,1887501.9909999997,1903093.7212,1901076.3083999997
1922497.1782198022,1926464.22231359,3660869.60994555,1961629.956850761,1887590.2209999997,1887498.3082,1903093.7212,1901073.6419999998
1922279.8416842574,1926229.285412732,3660432.2824797244,1961389.6299411177,1887587.3961999998,1887496.0311999996,1903090.5069999998,1901071.4111999997
1922493.3567555554,1926431.6470555556,2709942.1111111115,1961574.969022222,1889419.4237999998,1889724.2909999997,1903090.5069999998,1901080.3656
1922506.5721302365,1926446.9395488384,1865269.4743860427,1961721.3147349707,1891489.7357999997,1770300.777777778,349924.88888888893,565
2051911.8761888887,1926427.2925222223,124488.22222222223,1961693.5739333332,4772.222222222223,717863.7777777779,9.333333333333334,565
2051911.8761888887,1926427.2925222223,124488.22222222223,1961693.5739333332,860619.5555555556,717863.7777777779,9.333333333333334,25.88888888888889
4694528.920388889,1926423.1097333329,1118.7777777777778,7274.222222222223,1728918.888888889,2910694.777777778,9.333333333333334,9.333333333333334
6968428.28991111,1926423.1097333329,1332.7777777777778,7224.555555555556,2443542.888888889,2910694.777777778,9.333333333333334,9.333333333333334
5163744.082675852,2929.214357150794,1126.2362484720522,194.79942215801753,2443542.888888889,4929350.666666667,9.333333333333334,9.333333333333334
6365925,4.666666666666667,1121.4444444444446,264.6666666666667,3191623.555555556,6542265.333333334,9.333333333333334,9.333333333333334
6591441.777777778,4.666666666666667,1121.4444444444446,264.6666666666667,3197767.4309,6554859.1941,9.3513,9.3513
7628475.502721921,4.666148205754917,1019.7755804910566,334.51838684590604,3242298.713657143,6647758.405857143,9.487200000000001,0
7629323.111111112,4.666666666666667,1126.888888888889,202.33333333333334,3051889.9765907642,6262979.889338158,0,0
9189037.662481947,0,998.5557160315522,289.96778135762696,4495091.402426048,7942505.533092149,0,0
9190058.666666668,40.44444444444445,998.6666666666667,290,6119428.860274555,8312337.980206448,0,0
6501077.888888889,40.44444444444445,1098.3333333333335,297.33333333333337,5287813.025433648,6225745.025007981,38.73576673406406,38.73576673406406
4174976.888888889,40.44444444444445,991.3333333333334,383.7777777777778,6668235.369227496,6225089.593530539,38.731645030857635,38.731645030857635
4174976.888888889,40.44444444444445,1131.2222222222224,547.3333333333334,6682420.985420878,4292379.376396722,38.73576673406406,38.73576673406406
4647953.555555556,40.44444444444445,984.0000000000001,477.44444444444446,5965310.065971484,3092486.9121089596,38.731645030857635,38.731645030857635
4422911.656850761,40.44893877097455,984.1093454828314,477.4974997221913,6164984.72492499,3195717.2408874743,40.024546363766255,40.024546363766255
3842362.7069674404,40.44893877097455,1028.8920991221246,407.600844538282,6095196.105704619,4647277.178713745,44.13739998749843,44.13739998749843
5444397.111111112,40.44444444444445,1061.6666666666667,477.44444444444446,8102814.444444445,5080145.666666667,45.111111111111114,45.111111111111114
3499280.1616915422,37.72802653399668,990.360696517413,363.59867330016584,7131118.679853316,2611113.1236804086,45.116124013779306,45.116124013779306
3498917.504404602,0,990.2580578298271,450.30573116385125,4578989.666666667,3765433.666666667,45.111111111111114,45.111111111111114
3484907.0369986533,0,1003.938231941134,417.3489480775211,5913028.7745806025,3750804.2439728924,4.666148205754917,4.666148205754917
3484330.6042076903,0,1034.822261374236,336.71883096693966,3757006.555555556,3751213.666666667,4.666666666666667,4.666666666666667
3484691.7495854064,0,1069.1334991708127,242.53731343283582,3742936.1111111115,3751213.666666667,4.666666666666667,4.666666666666667
1921310.3948595712,0,1175.6658721110998,242.51217742771277,3742936.1111111115,3390776.4444444445,4.666666666666667,4.666666666666667
1921310.3948595712,0,1175.6658721110998,242.51217742771277,3742383.777777778,3390776.4444444445,4.666666666666667,4.666666666666667
1494678.412270702,0,1075.8627837081565,307.70027982174327,3741968.003555161,1870011.8875680482,0,0
0,0,945.3829412374341,242.51217742771277,1869438.7154128235,1540045.4494943882,0,0
0,0,1153.5726191799088,260.0288920991221,1334696.1111111112,1539874.3333333335,0,0
0,33.111111111111114,1305.3333333333335,332,1334547.828019109,0,0,0
0,33.11479053228136,1265.2516946327369,297.4774974997222,0,0,40.44444444444445,0
7.333333333333334,33.111111111111114,1125,297.44444444444446,0,0,40.44444444444445,0
29.330074436173764,33.10743250749917,1195.2005332740807,304.74391734251753,0,0,40.43995111654261,0
29.333333333333336,33.111111111111114,1081,304.77777777777777,7.334148238693188,29.33659295477275,40.44893877097455,40.44893877097455
36.670741193465936,33.11479053228136,1081.120124458273,398.3775975108345,7.332518609043441,29.330074436173764,40.43995111654261,40.43995111654261
36.654448517160944,33.10007775186049,1120.8486060202156,398.20059980006664,36.670741193465936,36.670741193465936,40.44893877097455,40.44893877097455
36.66666666666667,33.111111111111114,1121.2222222222224,398.33333333333337,36.6625930452172,36.6625930452172,40.43995111654261,40.43995111654261
36.6625930452172,33.10743250749917,1095.5449394511722,398.2890789912232,36.6625930452172,36.6625930452172,40.43995111654261,40.43995111654261
36.66666666666667,0,943.7777777777778,401.5555555555556,36.670741193465936,36.670741193465936,40.44893877097455,40.44893877097455
36.6625930452172,0,991.2231974225087,401.5109432285302,36.670741193465936,36.670741193465936,0,40.44893877097455
29.333333333333336,0,1138.7777777777778,459.22222222222223,36.670741193465936,36.670741193465936,0,40.44893877097455
7.334148238693188,0,1034.6705189465495,389.37659739971105,38.37941461432679,38.37941461432679,0,42.33365733216652
7.334148238693188,0,927.6586287365262,466.60740082231354,31.314171428571427,7.828542857142857,0,0
0,0,1157.982446394845,372.95856015998226,32.13818969828305,8.034547424570762,0,0
0,0,1011.2259642102924,303.2121818383906,0,0,0,0
0,0,1265.111111111111,365.6666666666667,0,0,0,0
7.333333333333334,0,1150.7777777777778,365.6666666666667,0,0,0,0
29.333333333333336,0,1298,197.44444444444446,0,0,0,0
29.333333333333336,0,1243.111111111111,267.33333333333337,0,0,0,0
36.654448517160944,0,1095.3015661446184,209.59680106631123,0,0,0,0
36.6625930452172,33.10743250749917,1092.76747028108,209.64337295856018,0,7.9243999999999994,0,0
38.67142388451443,34.92146762904637,1152.6428040244969,139.68587051618547,0,7.734162466586405,0,0
38.318625174175565,34.60287970274036,1020.6688341848583,310.8453320947515,7.592402512185977,37.962012560929885,0,0
38.318625174175565,34.60287970274036,1267.30143985137,310.8453320947515,29.330074436173753,36.66259304521719,0,0
38.323075136453376,34.60689815352456,1001.7419579607479,416.3279526187435,29.333333333333336,36.66666666666667,40.44444444444445,0
30.6584601091627,34.60689815352456,1043.78121008013,416.3279526187435,36.66666666666667,46,40.44444444444445,0
7.664615027290675,34.60689815352456,1113.5756590407618,416.3279526187435,46,46,40.44444444444445,0
7.664615027290675,34.60689815352456,889.9082568807339,416.3279526187435,45.99488945672702,45.99488945672702,40.4399511165426,0
0,34.61493785573237,1036.3573004994773,416.4246718550354,45.989780048878025,45.989780048878025,40.43545878693623,40.43545878693623
0,0,1113.5756590407618,416.3279526187435,45.99488945672702,38.66237084768358,40.4399511165426,40.4399511165426
0,0,963.9425840309882,402.3559407409721,46.005111679075455,38.670963440382266,40.44893877097456,40.44893877097456
0,0,1091.1212356928547,397.0441160128903,38.670963440382266,9.334370485609512,40.44893877097456,40.44893877097456
0,0,1109.5677297477496,420.15779531059,16.6685187243027,9.334370485609512,40.44893877097456,40.44893877097456
7.333333333333334,0,1109.4444444444446,256.6666666666667,16.666666666666668,9.333333333333334,0,45.111111111111114
7.332518609043441,0,1090.8787912454172,335.29607821353187,9.333333333333334,0,0,45.111111111111114
36.66666666666667,0,1116.7777777777778,368.44444444444446,0,0,0,45.11612401377931
36.66666666666667,0,1116.7777777777778,342.6666666666667,0,22,0,45.111111111111114
41.33792643627069,0,1229.358817646405,342.7047449716635,0,22.00488997555012,0,4.667703934207601
41.333333333333336,0,1015.2222222222223,375.7777777777778,29.333333333333336,36.66666666666667,0,4.666666666666667
46,0,1160.7777777777778,256.22222222222223,36.66259304521719,36.66259304521719,0,4.666148205754915
46,0,1282.4444444444446,256.22222222222223,36.66666666666667,36.66666666666667,0,4.666666666666667
45.99488945672704,0,1027.8857904677259,266.1926452616376,36.66666666666667,36.66666666666667,0,4.666666666666667
38.6623708476836,0,1142.2064215087214,266.1926452616376,36.66666666666667,36.66666666666667,33.111111111111114,0
38.65378207264245,33.10007775186049,1155.8369432411419,240.80861934910587,36.66259304521719,36.66259304521719,33.10743250749916,0
9.332296411509834,33.10743250749917,1039.8844572825242,319.29785579380075,36.66259304521719,36.66259304521719,33.10743250749916,0
9.333333333333334,33.111111111111114,1292.3333333333335,422.11111111111114,36.66666666666667,14.666666666666668,33.111111111111114,0
4.666666666666667,33.111111111111114,1163.5555555555557,438.6666666666667,36.28334739407574,14.513338957630296,32.76496219222597,0
11.994669035984009,33.09640159928921,1163.038649489116,405.37538871612617,7.351457142857143,0,33.19294285714285,0
7.336594041796355,33.12583370386839,1263.561582925745,419.6309470875945,0,0,31.74603174603175,0
29.333333333333336,33.111111111111114,1001.4444444444446,419.44444444444446,0,0,36.21644652748189,0
36.66666666666667,37.77777777777778,1232,402.8888888888889,0,0,36.22030467668051,31.746031746031743
36.670741193465936,37.78197577508612,1117.790865651739,550.0611179019891,0,0,4.473796335747764,31.742650191734132
36.67889296432144,4.668222740913638,1120.706902300767,496.8322774258086,0,0,4.474749627104199,31.74941402088217
36.66666666666667,4.666666666666667,1264,426.22222222222223,0,0,4.474749627104199,31.74941402088217
37.071123922009754,4.718143044619423,1022.8260100299964,282.41456224221974,7.031000319590925,21.093000958772773,4.4742729306487705,31.74603174603175
38.31417624521073,4.876349703935911,1079.8792522930455,291.88436084987814,29.481427959096198,22.11107096932215,4.690227175310759,33.27827852958586
30.66558252991056,4.878615402485771,1080.3809966314323,338.1345103960971,29.09623077884736,36.3702884735592,4.628945805725716,32.8434726215777
30.647782679359178,4.875783608079869,1089.6215463199442,277.33921523101924,36.670741193465936,36.670741193465936,4.667185242804756,33.11479053228136
7.6619456698397945,4.875783608079869,1089.6215463199442,358.02182493615044,41.333333333333336,36.66666666666667,0,33.111111111111114
0,0,1087.6683697166743,340.8035299581978,41.32874125097212,41.32874125097212,0,0
0,0,1087.163416898793,221.56453110492112,41.34252056012447,41.34252056012447,0,0
0,0,1097.3060845332095,221.66744078030655,41.32874125097212,41.32874125097212,0,0
0,0,929.8653042266604,224.80260102183,41.32874125097212,41.32874125097212,0,0
0,0,837.0814592703649,223.26336831584211,34.0037781975775,19.33548172019113,40.44893877097455,0
7.333333333333334,0,998.6666666666667,231.66666666666669,11.998666814798357,19.3311854238418,40.43995111654261,0
29.333333333333336,0,1212.6666666666667,326.7777777777778,12,4.666666666666667,40.44444444444445,0
36.66666666666667,33.111111111111114,958.2222222222223,326.7777777777778,4.666148205754917,4.666148205754917,40.43995111654261,0
36.67074119346594,33.11479053228137,1112.9014334926103,420.3800422269141,0,4.667185242804756,40.44893877097455,0
36.66666666666667,33.111111111111114,884.3333333333334,420.33333333333337,0,0,40.44444444444445,0
36.6625930452172,33.10743250749917,1105.5438284635043,387.1792023108544,0,7.333333333333334,40.44444444444445,0
36.66666666666667,33.111111111111114,1103.7777777777778,403.7777777777778,7.334148238693188,36.670741193465936,40.44893877097455,0
36.6625930452172,33.10743250749917,1127.5413842906346,448.06132651927567,7.333333333333334,36.66666666666667,40.44444444444445,0
36.68297020898177,33.12583370386839,1128.1680746998666,464.87327701200536,36.66666666666667,36.66666666666667,0,40.44444444444445
29.333333333333336,33.111111111111114,1118.6666666666667,431.5555555555556,36.670741193465936,36.670741193465936,0,40.44893877097455
7.333333333333334,33.111111111111114,1047.3333333333335,353,36.66666666666667,41.333333333333336,0,40.44444444444445
0,0,1260.9130289903367,352.8823725424859,41.33792643627069,41.33792643627069,0,40.44893877097455
0,0,1106.654816131541,242.86190423286305,41.32874125097212,41.32874125097212,0,40.43995111654261
0,0,1244.639484501722,242.86190423286305,41.333333333333336,41.333333333333336,0,40.44444444444445
7.336594041796355,0,1261.894175188973,353.37927967985775,41.333333333333336,34,0,45.111111111111114
7.330075521990227,0,1108.1741448245225,397.1568191914705,34,4.666666666666667,0,45.111111111111114
7.334148238693189,0,1115.901766862985,308.9232136904101,34,4.666666666666667,0,45.111111111111114
29.333333333333336,0,1305.3333333333335,308.8888888888889,4.821030183727035,4.821030183727035,0,4.821030183727035
29.333333333333336,0,1305.1111111111113,369.5555555555556,4.909741465504927,4.909741465504927,0,4.909741465504927
36.650377609951136,0,1268.8804975566416,308.75166592625504,5.028020329945009,0,0,5.028020329945009
36.68297020898177,0,1055.913739439751,404.17963539350825,0,0,42.583060364997664,4.913430042115115
