dockerfiles-laptop-clientapp-0-1,dockerfiles-laptop-supernode-0-1,dockerfiles-serverapp-1,dockerfiles-superlink-1,dockerfiles-desktop-clientapp-0-1,dockerfiles-desktop-clientapp-1-1,dockerfiles-desktop-supernode-0-1,dockerfiles-desktop-supernode-1-1
309784576,1794048,746934272,63369216,34136064,29192192,31002624,32759808
309784576,1798144,746938368,63373312,34136064,29192192,31002624,32759808
309784576,1798144,746938368,63373312,34136064,29192192,31002624,32759808
309784576,1798144,746938368,63373312,34136064,29192192,31002624,32759808
309784576,1798144,746938368,63373312,34136064,29192192,31002624,32759808
309784576,1798144,746938368,63373312,34136064,29192192,31002624,32759808
309784576,1798144,746938368,63483904,34136064,29192192,31002624,32759808
309784576,1798144,746938368,63483904,34136064,29192192,31002624,32759808
309784576,1798144,747057152,63483904,34136064,29192192,31002624,32759808
309784576,1798144,747057152,63483904,34136064,29192192,31002624,32759808
309784576,1798144,747061248,63483904,34136064,29192192,31002624,32759808
309784576,1798144,747089920,63483904,34136064,29192192,31002624,32759808
309784576,1798144,747130880,63483904,34136064,29192192,31002624,32759808
309784576,1798144,755429376,63483904,34136064,29192192,31002624,32759808
309784576,1798144,755429376,63483904,34136064,29192192,31002624,32759808
309784576,1798144,764911616,63483904,34136064,29192192,31002624,32919552
309784576,1798144,782663680,63483904,34136064,29192192,31145984,32919552
309784576,1908736,782663680,63483904,34136064,29192192,31145984,32919552
309903360,1908736,782663680,63483904,34136064,335650816,31145984,32919552
309907456,1908736,782663680,63483904,34385920,335650816,31145984,32919552
309907456,1908736,782663680,63483904,34385920,399880192,31145984,32919552
309936128,1908736,782663680,63483904,39112704,503123968,31145984,32919552
309940224,1908736,782663680,63483904,39112704,503123968,31145984,32919552
309940224,1908736,782663680,63483904,102375424,566697984,31145984,32919552
320438272,1908736,782663680,63483904,120696832,583364608,31145984,32919552
351416320,1908736,782663680,63483904,120696832,583430144,31145984,32919552
351416320,1908736,782663680,63483904,121032704,583430144,31145984,32919552
372387840,1908736,782663680,63483904,121032704,594755584,31145984,32919552
372387840,1908736,782663680,63483904,131518464,605257728,31145984,32919552
527548416,1908736,782663680,63483904,142290944,625733632,31145984,32919552
547762176,1908736,782663680,63483904,142290944,625733632,31145984,32919552
552771584,1908736,782663680,63483904,152776704,625733632,31145984,32919552
552771584,1908736,782663680,63483904,152776704,625733632,31145984,32919552
552775680,1908736,782663680,63483904,162766848,646705152,31145984,32919552
561078272,1908736,782663680,63483904,173252608,657190912,31145984,32919552
561078272,1908736,782663680,63483904,183738368,657190912,31145984,32919552
570564608,1908736,782663680,63483904,183738368,807723008,31145984,32919552
570564608,1908736,782663680,63483904,338915328,811335680,31145984,32919552
570564608,1908736,782663680,63483904,338915328,837238784,31145984,32919552
570564608,1908736,782663680,63483904,342364160,837238784,31145984,32919552
588308480,1908736,782663680,63483904,364314624,845709312,31145984,32919552
588308480,1908736,782663680,63483904,372707328,863596544,31145984,32919552
588308480,1908736,782663680,63483904,372707328,878575616,31145984,32919552
588308480,1908736,782663680,63483904,382214144,896409600,31145984,32919552
588308480,1908736,782663680,63483904,382214144,896409600,31145984,32919552
588308480,1908736,782663680,63483904,399974400,896409600,31145984,32919552
588308480,1908736,782663680,63483904,399974400,896409600,31145984,32919552
588308480,1908736,782663680,63483904,399974400,896409600,31145984,32919552
588308480,1908736,782663680,63483904,399974400,896409600,31145984,32919552
588308480,1908736,782663680,63483904,399974400,896409600,31145984,32919552
588308480,1908736,782663680,63483904,399974400,896409600,31145984,32919552
588308480,1908736,782663680,63483904,399974400,896409600,31145984,32919552
588308480,1908736,782663680,63483904,399974400,896409600,31145984,32919552
588308480,1908736,782663680,63483904,399974400,896409600,31145984,32919552
588308480,1908736,782663680,63483904,399974400,896409600,31145984,32919552
588308480,1908736,782663680,63483904,399974400,896409600,31145984,32919552
588308480,1908736,782663680,63483904,399974400,896409600,31145984,32919552
588308480,1908736,782663680,63483904,399974400,896409600,31145984,32919552
588308480,1908736,782663680,63483904,399974400,896409600,31145984,32919552
588308480,1908736,782663680,63483904,399974400,896409600,31145984,32919552
588308480,1908736,782663680,63483904,399974400,896409600,31145984,32919552
588308480,1908736,782663680,63483904,399974400,896409600,31145984,32919552
588308480,1908736,782663680,63483904,399974400,896409600,31145984,32919552
588308480,1908736,782663680,63483904,399974400,896409600,31145984,32919552
588308480,1908736,782663680,63483904,399974400,896409600,31145984,32919552
588308480,1908736,782663680,63483904,399974400,896409600,31145984,32919552
588308480,1908736,782663680,63483904,399974400,896409600,31145984,32919552
588308480,1908736,782663680,63483904,399974400,896409600,31145984,32919552
588308480,1908736,782663680,63483904,399974400,896409600,31145984,32919552
588308480,1908736,782663680,63483904,399974400,896409600,31145984,32919552
588308480,1908736,782663680,63483904,399974400,896409600,31145984,32919552
588308480,1908736,782663680,63483904,399974400,896409600,31145984,32919552
588308480,1908736,782663680,63483904,399974400,896409600,31145984,32919552
588308480,1908736,782663680,63483904,399974400,896409600,31145984,32919552
588308480,1908736,782663680,63483904,399974400,896409600,31145984,32919552
