dockerfiles-laptop-clientapp-0-1,dockerfiles-laptop-clientapp-1-1,dockerfiles-laptop-supernode-0-1,dockerfiles-laptop-supernode-1-1,dockerfiles-serverapp-1,dockerfiles-superlink-1,dockerfiles-desktop-clientapp-0-1,dockerfiles-desktop-clientapp-1-1,dockerfiles-desktop-clientapp-2-1,dockerfiles-desktop-supernode-0-1,dockerfiles-desktop-supernode-1-1,dockerfiles-desktop-supernode-2-1
12288,184320,798720,16384,63516672,63889408,63680512,49152,36864,34136064,29601792,36864
12288,184320,798720,16384,63516672,63889408,63680512,49152,36864,34136064,29601792,36864
12288,184320,798720,16384,63516672,63889408,63680512,49152,36864,34136064,29601792,36864
12288,184320,798720,16384,63516672,63889408,63680512,49152,36864,34136064,29601792,36864
12288,184320,798720,16384,63516672,63889408,63680512,49152,36864,34136064,29601792,36864
12288,184320,798720,16384,63516672,64024576,63680512,49152,36864,34136064,29601792,36864
12288,184320,798720,16384,288174080,64024576,63680512,49152,36864,34136064,29601792,36864
12288,184320,798720,16384,425168896,64024576,63680512,49152,36864,34136064,29601792,36864
12288,184320,798720,16384,425168896,64024576,63680512,49152,36864,34136064,29601792,36864
12288,184320,798720,16384,529678336,64024576,63680512,49152,36864,34136064,29601792,36864
12288,184320,798720,16384,652967936,64024576,63680512,49152,36864,34136064,29601792,36864
12288,184320,798720,16384,652967936,64024576,63680512,49152,36864,34136064,29601792,36864
12288,184320,798720,16384,700370944,64024576,63680512,49152,36864,34136064,29601792,36864
12288,184320,798720,16384,708714496,64024576,63680512,49152,36864,34136064,29601792,36864
12288,184320,798720,16384,708714496,64024576,63680512,49152,36864,34136064,29601792,36864
12288,184320,798720,16384,728305664,64024576,63680512,49152,36864,34136064,29601792,36864
12288,184320,798720,16384,728334336,64024576,63680512,162791424,36864,34136064,29880320,36864
12288,184320,798720,16384,746086400,64024576,63680512,318427136,245760,34279424,29880320,167936
12288,184320,798720,16384,746086400,64024576,63680512,353419264,245760,34279424,29880320,167936
12288,184320,798720,16384,746086400,64024576,63893504,353419264,28467200,34279424,29880320,167936
