dockerfiles-laptop-clientapp-0-1,dockerfiles-laptop-clientapp-1-1,dockerfiles-laptop-clientapp-2-1,dockerfiles-laptop-supernode-0-1,dockerfiles-laptop-supernode-1-1,dockerfiles-laptop-supernode-2-1,dockerfiles-serverapp-1,dockerfiles-superlink-1,dockerfiles-desktop-clientapp-0-1,dockerfiles-desktop-clientapp-1-1,dockerfiles-desktop-clientapp-2-1,dockerfiles-desktop-clientapp-3-1,dockerfiles-desktop-supernode-0-1,dockerfiles-desktop-supernode-1-1,dockerfiles-desktop-supernode-2-1,dockerfiles-desktop-supernode-3-1
12288,12288,241664,12288,12288,802816,67870720,67260416,8589312,12288,57909248,12288,6873088,12288,59441152,12288
12288,12288,241664,12288,12288,802816,182059008,67387392,8589312,12288,57909248,12288,6873088,12288,59441152,12288
12288,12288,241664,12288,12288,802816,392531968,67387392,8589312,12288,57909248,12288,6873088,12288,59441152,12288
12288,12288,241664,12288,12288,802816,574218240,67387392,8589312,12288,57909248,12288,6873088,12288,59441152,12288
12288,12288,241664,12288,12288,802816,661610496,67387392,8589312,12288,57909248,12288,6873088,12288,59441152,12288
12288,12288,241664,12288,12288,802816,713084928,67387392,8589312,12288,57909248,12288,6873088,12288,59441152,12288
12288,12288,241664,12288,12288,802816,732672000,67387392,8589312,12288,57909248,12288,6873088,12288,59441152,12288
12288,12288,241664,12288,12288,802816,750452736,67387392,8589312,12288,57909248,12288,6873088,12288,59441152,12288
12288,12288,241664,131072,12288,802816,750452736,67387392,231424000,12288,57909248,12288,7008256,12288,59559936,131072
163840,163840,675840,131072,131072,921600,750452736,67387392,386629632,159744,58056704,163840,7008256,131072,59559936,131072
172032,172032,729088,131072,131072,921600,750452736,67387392,475103232,167936,58064896,172032,7008256,131072,59559936,131072
217088,233472,1642496,131072,131072,921600,750452736,67387392,600260608,9547776,63905792,25112576,7008256,131072,59559936,131072
10735616,249856,12128256,131072,131072,921600,750452736,67387392,603291648,18583552,68304896,29278208,7008256,131072,59559936,131072
21237760,21237760,12128256,131072,131072,921600,750452736,67387392,603324416,18628608,69259264,29323264,7008256,131072,59559936,131072
31723520,21237760,22630400,131072,131072,921600,750452736,67387392,603324416,18628608,79745024,39809024,7008256,131072,59559936,131072
31723520,21237760,22630400,131072,131072,921600,750452736,67387392,613810176,29114368,79745024,50311168,7008256,131072,59559936,131072
31723520,21237760,22630400,131072,131072,921600,750452736,67387392,613810176,39616512,90247168,50311168,7008256,131072,59559936,131072
41713664,31723520,22630400,131072,131072,921600,750452736,67387392,624312320,50102272,100732928,60796928,7008256,131072,59559936,131072
41713664,31723520,22630400,131072,131072,921600,750452736,67387392,624312320,60092416,100732928,70787072,7008256,131072,59559936,131072
52199424,31723520,33116160,131072,131072,921600,750452736,67387392,624312320,60092416,110723072,81272832,7008256,131072,59559936,131072
62685184,41713664,43106304,131072,131072,921600,750452736,67387392,634798080,60092416,110723072,91758592,7008256,131072,59559936,131072
62685184,41713664,64077824,131072,131072,921600,750452736,67387392,634798080,70578176,110723072,91758592,7008256,131072,59559936,131072
62685184,41713664,74563584,131072,131072,921600,750452736,67387392,634798080,81063936,121208832,102244352,7008256,131072,59559936,131072
73170944,52199424,225136640,131072,131072,921600,750452736,67387392,644788224,81063936,121208832,102244352,7008256,131072,59559936,131072
218079232,52199424,239837184,131072,131072,921600,750452736,67387392,655273984,91549696,131694592,263041024,7008256,131072,59559936,131072
228724736,62685184,248168448,131072,131072,921600,750452736,67387392,655273984,236232704,131694592,274935808,7008256,131072,59559936,131072
237027328,73170944,266878976,131072,131072,921600,750452736,67387392,655273984,242577408,142180352,306118656,7008256,131072,59559936,131072
246525952,73170944,270897152,131072,131072,921600,750452736,67387392,665759744,247365632,142180352,309301248,7008256,131072,59559936,131072
246530048,73170944,288706560,131072,131072,921600,750452736,67387392,665759744,265129984,193953792,309301248,7008256,131072,59559936,131072
246530048,97026048,288706560,131072,131072,921600,750452736,67387392,710721536,282910720,287096832,327049216,7008256,131072,59559936,131072
264278016,221065216,288706560,131072,131072,921600,750452736,67387392,821161984,282910720,297779200,327049216,7008256,131072,59559936,131072
264278016,228917248,288706560,131072,131072,921600,750452736,67387392,831791104,282910720,315596800,327049216,7008256,131072,59559936,131072
264278016,246693888,288706560,131072,131072,921600,750452736,67387392,831836160,282910720,315613184,327049216,7008256,131072,59559936,131072
264278016,246722560,288706560,131072,131072,921600,750452736,67387392,849600512,282910720,315613184,327049216,7008256,131072,59559936,131072
264278016,264470528,288706560,131072,131072,921600,750452736,67387392,849604608,282910720,333377536,327049216,7008256,131072,59559936,131072
264278016,264470528,288706560,131072,131072,921600,750452736,67387392,867385344,282910720,333377536,327049216,7008256,131072,59559936,131072
264278016,264470528,288706560,131072,131072,921600,750452736,67387392,867385344,282910720,333377536,327049216,7008256,131072,59559936,131072
264278016,264470528,288706560,131072,131072,921600,750452736,67387392,867385344,282910720,333377536,327049216,7008256,131072,59559936,131072
264278016,264470528,288706560,131072,131072,921600,750452736,67387392,867385344,282910720,333377536,327049216,7008256,131072,59559936,131072
264278016,264470528,288706560,131072,131072,921600,750452736,67387392,867385344,282910720,333377536,327049216,7008256,131072,59559936,131072
264278016,264470528,288706560,131072,131072,921600,750452736,67387392,867385344,282910720,333377536,327049216,7008256,131072,59559936,131072
264278016,264470528,288706560,131072,131072,921600,750452736,67387392,867385344,282910720,333377536,327049216,7008256,131072,59559936,131072
264278016,264470528,288706560,131072,131072,921600,750452736,67387392,867385344,282910720,333377536,327049216,7008256,131072,59559936,131072
264278016,264470528,288706560,131072,131072,921600,750452736,67387392,867385344,282910720,333377536,327049216,7008256,131072,59559936,131072
264278016,264470528,288706560,131072,131072,921600,750452736,67387392,867385344,282910720,333377536,327049216,7008256,131072,59559936,131072
264278016,264470528,288706560,131072,131072,921600,750452736,67387392,867385344,282910720,333377536,327049216,7008256,131072,59559936,131072
264278016,264470528,288706560,131072,131072,921600,750452736,67387392,867385344,282910720,333377536,327049216,7008256,131072,59559936,131072
264278016,264470528,288706560,131072,131072,921600,750452736,67387392,867385344,282910720,333377536,327049216,7008256,131072,59559936,131072
264278016,264470528,288706560,131072,131072,921600,750452736,67387392,867385344,282910720,333377536,327049216,7008256,131072,59559936,131072
264278016,264470528,288706560,131072,131072,921600,750452736,67387392,867385344,282910720,333377536,327049216,7008256,131072,59559936,131072
264278016,264470528,288706560,131072,131072,921600,750452736,67387392,867385344,282910720,333377536,327049216,7008256,131072,59559936,131072
264278016,264470528,288706560,131072,131072,921600,750452736,67387392,867385344,282910720,333377536,327049216,7008256,131072,59559936,131072
264278016,264470528,288706560,131072,131072,921600,750452736,67387392,867385344,282910720,333377536,327049216,7008256,131072,59559936,131072
264278016,264470528,288706560,131072,131072,921600,750452736,67387392,867385344,282910720,333377536,327049216,7008256,131072,59559936,131072
