dockerfiles-laptop-clientapp-0-1,dockerfiles-laptop-clientapp-1-1,dockerfiles-laptop-supernode-0-1,dockerfiles-laptop-supernode-1-1,dockerfiles-serverapp-1,dockerfiles-superlink-1,dockerfiles-desktop-clientapp-0-1,dockerfiles-desktop-clientapp-1-1,dockerfiles-desktop-clientapp-2-1,dockerfiles-desktop-supernode-0-1,dockerfiles-desktop-supernode-1-1,dockerfiles-desktop-supernode-2-1
16384,180224,77824,737280,63537152,64393216,49152,49152,63705088,36864,36864,63799296
16384,180224,77824,737280,63537152,64393216,49152,49152,63705088,36864,36864,63799296
16384,180224,77824,737280,63537152,64393216,49152,49152,63705088,36864,36864,63799296
16384,180224,77824,737280,63537152,64393216,49152,49152,63705088,36864,36864,63799296
16384,180224,77824,737280,67592192,64393216,49152,49152,63705088,36864,36864,63799296
16384,180224,77824,737280,67592192,64450560,49152,49152,63705088,36864,36864,63799296
16384,180224,77824,737280,380030976,64450560,49152,49152,63705088,36864,36864,63799296
16384,180224,77824,737280,380030976,64450560,49152,49152,63705088,36864,36864,63799296
16384,180224,77824,737280,451883008,64450560,49152,49152,63705088,36864,36864,63799296
16384,180224,77824,737280,627793920,64450560,49152,49152,63705088,36864,36864,63799296
16384,180224,77824,737280,627793920,64450560,49152,49152,63705088,36864,36864,63799296
16384,180224,77824,737280,689491968,64450560,49152,49152,63705088,36864,36864,63799296
16384,180224,77824,737280,689491968,64450560,49152,49152,63705088,36864,36864,63799296
16384,180224,77824,737280,698036224,64450560,49152,49152,63705088,36864,36864,63799296
16384,180224,77824,737280,717426688,64450560,49152,49152,63705088,36864,36864,63799296
16384,180224,77824,737280,717467648,64450560,49152,49152,63705088,36864,36864,63799296
16384,180224,77824,737280,717467648,64450560,49152,49152,63705088,102400,102400,63881216
16384,278528,118784,737280,717467648,64450560,49152,49152,63705088,102400,102400,63881216
90112,278528,118784,778240,735219712,64450560,49152,49152,63705088,102400,102400,63881216
98304,286720,118784,778240,735219712,64450560,49152,113029120,260976640,102400,102400,63881216
98304,331776,118784,778240,735219712,64450560,49152,113029120,277446656,102400,102400,63881216
143360,331776,118784,778240,735219712,64450560,221184,151285760,315875328,102400,102400,63881216
909312,348160,118784,778240,735219712,64450560,241664,196419584,315875328,102400,102400,63881216
6877184,512000,118784,778240,735219712,64450560,26198016,230940672,372260864,102400,102400,63881216
21897216,21499904,118784,778240,735219712,64450560,26198016,230940672,372260864,102400,102400,63881216
21897216,21499904,118784,778240,735219712,64450560,49463296,246562816,395460608,102400,102400,63881216
32382976,31985664,118784,778240,735219712,64450560,51458048,246628352,395460608,102400,102400,63881216
32382976,31985664,118784,778240,735219712,64450560,51458048,246628352,395554816,102400,102400,63881216
42373120,41988096,118784,778240,735219712,64450560,51511296,247578624,395554816,102400,102400,63881216
52858880,52473856,118784,778240,735219712,64450560,51511296,247578624,395554816,102400,102400,63881216
52858880,52473856,118784,778240,735219712,64450560,61997056,247578624,395554816,102400,102400,63881216
63344640,52473856,118784,778240,735219712,64450560,72499200,247578624,395554816,102400,102400,63881216
73830400,52473856,118784,778240,735219712,64450560,72499200,247578624,395554816,102400,102400,63881216
73830400,62959616,118784,778240,735219712,64450560,82984960,247578624,406040576,102400,102400,63881216
224145408,62959616,118784,778240,735219712,64450560,92975104,247578624,406040576,102400,102400,63881216
224145408,62959616,118784,778240,735219712,64450560,113946624,258064384,406040576,102400,102400,63881216
227495936,62959616,118784,778240,735219712,64450560,113946624,258064384,416542720,102400,102400,63881216
243376128,73445376,118784,778240,735219712,64450560,124432384,258064384,416542720,102400,102400,63881216
243376128,143208448,118784,778240,735219712,64450560,154345472,258064384,416542720,102400,102400,63881216
251707392,143208448,118784,778240,735219712,64450560,154345472,268578816,427028480,102400,102400,63881216
266211328,218378240,118784,778240,735219712,64450560,275267584,268578816,427028480,102400,102400,63881216
266211328,230404096,118784,778240,735219712,64450560,275267584,279064576,437018624,102400,102400,63881216
274497536,233406464,118784,778240,735219712,64450560,301613056,279064576,457990144,102400,102400,63881216
274497536,233406464,118784,778240,735219712,64450560,302829568,289054720,457990144,102400,102400,63881216
274497536,241704960,118784,778240,735219712,64450560,302829568,289054720,457990144,102400,102400,63881216
292245504,251179008,118784,778240,735219712,64450560,322732032,289054720,457990144,102400,102400,63881216
292245504,251207680,118784,778240,735219712,64450560,322732032,289054720,468475904,102400,102400,63881216
292245504,251207680,118784,778240,735219712,64450560,335773696,310026240,468475904,102400,102400,63881216
292245504,268959744,118784,778240,735219712,64450560,335773696,310026240,613298176,102400,102400,63881216
292245504,268959744,118784,778240,735219712,64450560,335773696,310026240,613531648,102400,102400,63881216
292245504,268959744,118784,778240,735219712,64450560,353521664,465358848,613531648,102400,102400,63881216
292245504,268959744,118784,778240,735219712,64450560,353521664,465358848,628736000,102400,102400,63881216
292245504,268959744,118784,778240,735219712,64450560,353521664,465592320,637038592,102400,102400,63881216
292245504,268959744,118784,778240,735219712,64450560,353521664,480727040,637038592,102400,102400,63881216
292245504,268959744,118784,778240,735219712,64450560,353521664,480727040,646565888,102400,102400,63881216
292245504,268959744,118784,778240,735219712,64450560,353521664,480776192,646565888,102400,102400,63881216
292245504,268959744,118784,778240,735219712,64450560,353521664,480780288,646565888,102400,102400,63881216
292245504,268959744,118784,778240,735219712,64450560,353521664,480780288,664313856,102400,102400,63881216
292245504,268959744,118784,778240,735219712,64450560,353521664,498589696,664313856,102400,102400,63881216
292245504,268959744,118784,778240,735219712,64450560,353521664,498589696,664313856,102400,102400,63881216
292245504,268959744,118784,778240,735219712,64450560,353521664,516358144,664313856,102400,102400,63881216
292245504,268959744,118784,778240,735219712,64450560,353521664,516358144,664313856,102400,102400,63881216
292245504,268959744,118784,778240,735219712,64450560,353521664,516358144,664313856,102400,102400,63881216
292245504,268959744,118784,778240,735219712,64450560,353521664,516358144,664313856,102400,102400,63881216
292245504,268959744,118784,778240,735219712,64450560,353521664,516358144,664313856,102400,102400,63881216
292245504,268959744,118784,778240,735219712,64450560,353521664,516358144,664313856,102400,102400,63881216
292245504,268959744,118784,778240,735219712,64450560,353521664,516358144,664313856,102400,102400,63881216
292245504,268959744,118784,778240,735219712,64450560,353521664,516358144,664313856,102400,102400,63881216
292245504,268959744,118784,778240,735219712,64450560,353521664,516358144,664313856,102400,102400,63881216
292245504,268959744,118784,778240,735219712,64450560,353521664,516358144,664313856,102400,102400,63881216
292245504,268959744,118784,778240,735219712,64450560,353521664,516358144,664313856,102400,102400,63881216
292245504,268959744,118784,778240,735219712,64450560,353521664,516358144,664313856,102400,102400,63881216
292245504,268959744,118784,778240,735219712,64450560,353521664,516358144,664313856,102400,102400,63881216
292245504,268959744,118784,778240,735219712,64450560,353521664,516358144,664313856,102400,102400,63881216
292245504,268959744,118784,778240,735219712,64450560,353521664,516358144,664313856,102400,102400,63881216
292245504,268959744,118784,778240,735219712,64450560,353521664,516358144,664313856,102400,102400,63881216
292245504,268959744,118784,778240,735219712,64450560,353521664,516358144,664313856,102400,102400,63881216
292245504,268959744,118784,778240,735219712,64450560,353521664,516358144,664313856,102400,102400,63881216
292245504,268959744,118784,778240,735219712,64450560,353521664,516358144,664313856,102400,102400,63881216
292245504,268959744,118784,778240,735219712,64450560,353521664,516358144,664313856,102400,102400,63881216
292245504,268959744,118784,778240,735219712,64450560,353521664,516358144,664313856,102400,102400,63881216
292245504,268959744,118784,778240,735219712,64450560,353521664,516358144,664313856,102400,102400,63881216
292245504,268959744,118784,778240,735219712,64450560,353521664,516358144,664313856,102400,102400,63881216
292245504,268959744,118784,778240,735219712,64450560,353521664,516358144,664313856,102400,102400,63881216
292245504,268959744,118784,778240,735219712,64450560,353521664,516358144,664313856,102400,102400,63881216
292245504,268959744,118784,778240,735219712,64450560,353521664,516358144,664313856,102400,102400,63881216
292245504,268959744,118784,778240,735219712,64450560,353521664,516358144,664313856,102400,102400,63881216
292245504,268959744,118784,778240,735219712,64450560,353521664,516358144,664313856,102400,102400,63881216
292245504,268959744,118784,778240,735219712,64450560,353521664,516358144,664313856,102400,102400,63881216
292245504,268959744,118784,778240,735219712,64450560,353521664,516358144,664313856,102400,102400,63881216
292245504,268959744,118784,778240,735219712,64450560,353521664,516358144,664313856,102400,102400,63881216
292245504,268959744,118784,778240,735219712,64450560,353521664,516358144,664313856,102400,102400,63881216
292245504,268959744,118784,778240,735219712,64450560,353521664,516358144,664313856,102400,102400,63881216
292245504,268959744,118784,778240,735219712,64450560,353521664,516358144,664313856,102400,102400,63881216
292245504,268959744,118784,778240,735219712,64450560,353521664,516358144,664313856,102400,102400,63881216
292245504,268959744,118784,778240,735219712,64450560,353521664,516358144,664313856,102400,102400,63881216
292245504,268959744,118784,778240,735219712,64450560,353521664,516358144,664313856,102400,102400,63881216
292245504,268959744,118784,778240,735219712,64450560,353521664,516358144,664313856,102400,102400,63881216
292245504,268959744,118784,778240,735219712,64450560,353521664,516358144,664313856,102400,102400,63881216
292245504,268959744,118784,778240,735219712,64450560,353521664,516358144,664313856,102400,102400,63881216
292245504,268959744,118784,778240,735219712,64450560,353521664,516358144,664313856,102400,102400,63881216
292245504,268959744,118784,778240,735219712,64450560,353521664,516358144,664313856,102400,102400,63881216
292245504,268959744,118784,778240,735219712,64450560,353521664,516358144,664313856,102400,102400,63881216
