dockerfiles-laptop-clientapp-0-1,dockerfiles-laptop-clientapp-1-1,dockerfiles-laptop-clientapp-2-1,dockerfiles-laptop-supernode-0-1,dockerfiles-laptop-supernode-1-1,dockerfiles-laptop-supernode-2-1,dockerfiles-serverapp-1,dockerfiles-superlink-1,dockerfiles-desktop-clientapp-0-1,dockerfiles-desktop-clientapp-1-1,dockerfiles-desktop-clientapp-2-1,dockerfiles-desktop-clientapp-3-1,dockerfiles-desktop-supernode-0-1,dockerfiles-desktop-supernode-1-1,dockerfiles-desktop-supernode-2-1,dockerfiles-desktop-supernode-3-1
12288,12288,184320,12288,12288,1757184,67002368,64061440,12288,66486272,12288,12288,12288,51535872,3526656,11288576
12288,12288,184320,12288,12288,1757184,67002368,64061440,12288,66486272,12288,12288,12288,51535872,3526656,11288576
12288,12288,184320,12288,12288,1757184,67002368,64114688,12288,66486272,12288,12288,12288,51535872,3526656,11288576
12288,12288,184320,12288,12288,1757184,519643136,64114688,12288,66486272,12288,12288,12288,51535872,3526656,11288576
12288,12288,184320,12288,12288,1757184,598056960,64114688,12288,66486272,12288,12288,12288,51535872,3526656,11288576
12288,12288,184320,12288,12288,1757184,697774080,64114688,12288,66486272,12288,12288,12288,51535872,3526656,11288576
12288,12288,184320,12288,12288,1757184,720924672,64114688,12288,66486272,12288,12288,12288,51535872,3526656,11288576
81920,12288,184320,53248,53248,1798144,720953344,64114688,12288,66486272,12288,12288,12288,51535872,3526656,11288576
106496,86016,258048,53248,53248,1798144,738705408,64114688,258351104,66486272,12288,12288,69632,51576832,3567616,11329536
114688,94208,266240,53248,53248,1798144,738705408,64114688,312016896,80420864,2719744,5746688,69632,51576832,3567616,11329536
1073152,122880,331776,53248,53248,1798144,738705408,64114688,353685504,109481984,41234432,42975232,69632,51576832,3567616,11329536
11558912,151552,348160,53248,53248,1798144,738705408,64114688,372936704,135200768,80744448,56209408,69632,51576832,3567616,11329536
22061056,167936,21336064,53248,53248,1798144,738705408,64114688,395431936,148123648,85905408,75603968,69632,51576832,3567616,11329536
