dockerfiles-laptop-clientapp-0-1,dockerfiles-laptop-clientapp-1-1,dockerfiles-laptop-clientapp-2-1,dockerfiles-laptop-supernode-0-1,dockerfiles-laptop-supernode-1-1,dockerfiles-laptop-supernode-2-1,dockerfiles-serverapp-1,dockerfiles-superlink-1,dockerfiles-desktop-clientapp-0-1,dockerfiles-desktop-clientapp-1-1,dockerfiles-desktop-clientapp-2-1,dockerfiles-desktop-clientapp-3-1,dockerfiles-desktop-supernode-0-1,dockerfiles-desktop-supernode-1-1,dockerfiles-desktop-supernode-2-1,dockerfiles-desktop-supernode-3-1
39301120,39288832,39280640,46239744,46219264,46219264,40693760,47210496,45907968,45916160,47976448,48005120,46493696,46489600,46485504,46485504
39305216,39301120,39284736,46239744,46231552,46231552,40747008,47218688,45912064,45916160,47976448,48005120,46493696,46489600,46485504,46485504
39309312,39301120,39288832,46239744,46231552,46235648,40747008,47218688,45912064,45920256,47980544,48005120,46497792,46493696,46489600,46489600
39309312,39305216,39292928,46247936,46239744,46239744,298741760,47386624,45912064,45920256,47980544,48009216,46497792,46493696,46489600,46489600
39313408,39305216,39292928,46247936,46239744,46239744,386355200,47386624,45916160,45924352,47984640,48009216,46505984,46493696,46489600,46497792
39313408,39305216,39292928,46256128,46247936,46243840,485437440,47390720,45916160,45924352,47984640,48013312,46510080,46497792,46493696,46505984
39313408,39305216,39297024,46264320,46256128,46243840,504922112,47390720,45920256,45928448,47988736,48017408,46510080,46497792,46505984,46510080
39313408,39305216,39297024,46272512,46256128,72609792,517120000,70553600,45920256,45928448,47988736,48017408,46514176,46510080,46514176,46522368
331644928,333438976,353296384,51507200,48316416,48361472,974856192,104378368,51535872,153186304,47988736,53645312,49364992,59502592,46514176,48386048
457924608,370229248,421052416,51507200,48316416,48361472,974864384,54190080,334888960,350191616,369790976,351911936,48328704,48300032,48394240,48386048
565116928,517914624,546168832,51507200,48316416,48361472,974864384,54190080,382963712,387534848,389566464,386162688,48328704,48295936,48394240,48386048
566681600,565542912,565784576,51507200,48316416,48361472,974864384,54190080,461152256,508166144,522792960,454070272,48328704,48295936,48394240,48386048
587403264,597037056,587829248,51507200,48316416,48361472,974864384,54194176,587243520,578854912,589971456,590061568,48332800,48295936,48394240,48390144
587403264,597065728,598343680,51507200,48316416,48361472,974835712,54194176,588599296,592801792,598835200,593817600,48332800,48295936,48394240,48390144
597913600,597065728,598343680,51507200,48316416,48361472,974835712,54194176,595910656,602845184,605126656,598011904,48332800,48295936,48394240,48390144
597913600,597065728,598343680,51507200,48316416,48361472,974835712,54194176,609632256,613867520,616189952,612442112,48332800,48295936,48394240,48390144
597913600,597065728,598343680,51507200,48316416,48361472,974835712,54194176,620126208,598671360,596385792,595939328,48332800,48295936,48394240,48390144
597913600,597065728,598343680,51507200,48316416,48361472,974835712,54190080,620138496,598671360,605163520,598036480,48332800,48295936,48394240,48390144
597913600,689106944,598343680,51507200,48316416,48361472,974835712,54226944,620138496,613871616,616169472,601088000,48332800,48295936,48394240,48390144
597917696,699588608,598347776,51507200,48316416,48361472,974835712,54226944,620142592,613871616,616169472,612438016,48332800,48295936,48394240,48390144
597917696,1601880064,598347776,51507200,48316416,48361472,974835712,53739520,620142592,613871616,616169472,612438016,48332800,48295936,48394240,48390144
597917696,1327333376,598347776,51507200,48316416,48361472,974835712,53739520,620142592,613871616,616169472,612438016,48332800,48295936,48394240,48390144
597917696,1641615360,598347776,51507200,48316416,48361472,974835712,53739520,620142592,623869952,626163712,622436352,48332800,48295936,48394240,48390144
597917696,1706713088,598347776,51507200,48316416,48361472,974835712,53739520,650657792,623869952,626163712,622436352,48332800,48295936,48394240,48390144
597917696,1386528768,598347776,51507200,48316416,48361472,974835712,53739520,731824128,623869952,626683904,622436352,48332800,48295936,48394240,48390144
697597952,1648680960,598347776,51507200,48316416,48361472,974835712,53760000,749211648,624381952,625721344,622948352,48332800,48295936,48394240,48390144
698601472,1445117952,598347776,51507200,48316416,48361472,974835712,53760000,1620836352,624381952,734412800,622948352,48332800,48295936,48394240,48390144
717422592,1495449600,632041472,51507200,48316416,48361472,974835712,53780480,1586176000,624381952,755728384,622948352,48332800,48295936,48394240,48390144
1086889984,1587724288,716976128,51507200,48316416,48361472,974835712,53780480,1887612928,624381952,1703723008,622899200,48332800,48295936,48394240,48390144
1351675904,1661095936,729473024,51507200,48316416,48361472,974835712,53780480,1751285760,629571584,1834737664,623083520,48332800,48295936,48394240,48390144
1148043264,1587724288,1025417216,51507200,48316416,48361472,974835712,53800960,1560428544,739516416,1594650624,726458368,48332800,48295936,48394240,48390144
1521266688,1587724288,1541644288,51507200,48316416,48361472,974835712,53800960,1644318720,757825536,1569615872,815026176,48332800,48295936,48394240,48390144
1252810752,1537523712,1364721664,51507200,48316416,48361472,974835712,53805056,1861234688,943984640,1561227264,1523318784,48332800,48295936,48394240,48390144
1345089536,1537523712,1683501056,51507200,48316416,48361472,974835712,53821440,1535393792,1597603840,1762566144,1635610624,48332800,48295936,48394240,48390144
1345089536,1537523712,1247264768,51507200,48316416,48361472,974835712,53821440,1904381952,1505370112,1600966656,1165819904,48332800,48295936,48394240,48390144
1680654336,1671749632,1247264768,51507200,48316416,48361472,974835712,53825536,1635926016,1169805312,1600966656,1165819904,48332800,48295936,48394240,48390144
1512869888,1554305024,1582825472,51507200,48316416,48361472,974835712,53825536,1937936384,1822482432,1810694144,1836945408,48332800,48295936,48394240,48390144
1378643968,1487192064,1381486592,51507200,48316416,48361472,974835712,53829632,1703038976,1513750528,1609355264,1568489472,48332800,48295936,48394240,48390144
1529643008,1680011264,1649942528,51507200,48316416,48361472,974835712,53829632,1594114048,1312411648,1609355264,1367150592,48332800,48295936,48394240,48390144
1462530048,1512226816,1790586880,51507200,48316416,48361472,974835712,53829632,1772384256,1547309056,1875709952,1937604608,48332800,48295936,48394240,48390144
1462530048,1512226816,1415041024,51507200,48316416,48361472,974835712,53829632,1929678848,1849315328,1609355264,1669148672,48332800,48295936,48394240,48390144
1529638912,1512226816,1775775744,51507200,48316416,48361472,974835712,53846016,1594114048,1379520512,1609355264,1534922752,48332800,48295936,48394240,48390144
1529638912,1512226816,1507319808,51507200,48316416,48361472,974835712,53850112,1535393792,1647972352,1777143808,1669148672,48332800,48295936,48394240,48390144
1529638912,1713565696,1440206848,51507200,48316416,48361472,974835712,53850112,1812107264,1572466688,1609355264,1937600512,48332800,48295936,48394240,48390144
1529638912,1646452736,1725435904,51507200,48316416,48361472,974835712,53870592,1543651328,1438240768,1609355264,1702703104,48332800,48295936,48394240,48390144
