dockerfiles-laptop-clientapp-0-1,dockerfiles-laptop-supernode-0-1,dockerfiles-serverapp-1,dockerfiles-superlink-1,dockerfiles-desktop-clientapp-0-1,dockerfiles-desktop-clientapp-1-1,dockerfiles-desktop-supernode-0-1,dockerfiles-desktop-supernode-1-1
39301120,46235648,40652800,47104000,45907968,48001024,46485504,46473216
39301120,46235648,40652800,47104000,45907968,48001024,46485504,46473216
39301120,46235648,40734720,47104000,45907968,48001024,46485504,46473216
39301120,46235648,40738816,47108096,45912064,48005120,46489600,46473216
39301120,46239744,40738816,47108096,45912064,48005120,46489600,46477312
39305216,46239744,268255232,47321088,45912064,48005120,46489600,46477312
39305216,46243840,301940736,47321088,45912064,48009216,46489600,46477312
39305216,46243840,301940736,47325184,45916160,48009216,46493696,46477312
39305216,46243840,377200640,47325184,45916160,48009216,46493696,46477312
39305216,46243840,450482176,47325184,45920256,48009216,46497792,46485504
39305216,46243840,450482176,47325184,45920256,48009216,46505984,46485504
39305216,46243840,498020352,47325184,45920256,48013312,46514176,46501888
39305216,46252032,504889344,47325184,45924352,48013312,46514176,46510080
39305216,46252032,508776448,47325184,45924352,48013312,46514176,46514176
39305216,46252032,508776448,47423488,45924352,48013312,46526464,46522368
184078336,46419968,547057664,47423488,45924352,48013312,46526464,46522368
184078336,46510080,542621696,47513600,45928448,48013312,46526464,46759936
324665344,46510080,542720000,47513600,45928448,257466368,46526464,46759936
490258432,46510080,542720000,47513600,274092032,257466368,46788608,46759936
490258432,46637056,542744576,47542272,274092032,320999424,46788608,46759936
490258432,46637056,542744576,47542272,323624960,340307968,46788608,46759936
495493120,46637056,542744576,47562752,376840192,394629120,46788608,46759936
495493120,46637056,542752768,47562752,376840192,394629120,46788608,46759936
495493120,46637056,542756864,47562752,468889600,471035904,46788608,46759936
495493120,46637056,542756864,47562752,519356416,523845632,46919680,46759936
495493120,46637056,542765056,47562752,527818752,529965056,46919680,46940160
495493120,46637056,542765056,47603712,527818752,529965056,46919680,46944256
495493120,46637056,542879744,47656960,527818752,529965056,46927872,46944256
495493120,46637056,542994432,47693824,527818752,529965056,46927872,46952448
495759360,46751744,542994432,47693824,528064512,530219008,47042560,46952448
