dockerfiles-laptop-clientapp-0-1,dockerfiles-laptop-clientapp-1-1,dockerfiles-laptop-clientapp-2-1,dockerfiles-laptop-supernode-0-1,dockerfiles-laptop-supernode-1-1,dockerfiles-laptop-supernode-2-1,dockerfiles-serverapp-1,dockerfiles-superlink-1,dockerfiles-desktop-clientapp-0-1,dockerfiles-desktop-clientapp-1-1,dockerfiles-desktop-clientapp-2-1,dockerfiles-desktop-clientapp-3-1,dockerfiles-desktop-supernode-0-1,dockerfiles-desktop-supernode-1-1,dockerfiles-desktop-supernode-2-1,dockerfiles-desktop-supernode-3-1
12288,212992,12288,12288,802816,12288,63733760,64380928,8192,63631360,12288,12288,360448,63246336,8192,45056
12288,212992,12288,12288,802816,12288,63733760,64438272,8192,63631360,12288,12288,360448,63246336,8192,45056
12288,212992,12288,12288,802816,12288,400584704,64438272,8192,63631360,12288,12288,360448,63246336,8192,45056
12288,212992,12288,12288,802816,12288,641933312,64438272,8192,63631360,12288,12288,360448,63246336,8192,45056
12288,212992,12288,12288,802816,12288,698388480,64438272,8192,107847680,86016,260587520,360448,63287296,40960,102400
90112,286720,12288,12288,843776,53248,717807616,64438272,81920,133664768,30904320,328499200,401408,63287296,40960,102400
94208,327680,69632,53248,843776,53248,735559680,64438272,25911296,198492160,95731712,358096896,401408,63287296,40960,102400
139264,958464,122880,53248,843776,53248,735559680,64438272,27930624,202682368,95731712,367915008,401408,63287296,40960,102400
528384,958464,122880,53248,843776,53248,735559680,64438272,27930624,202690560,95744000,367927296,401408,63287296,40960,102400
528384,970752,122880,53248,843776,53248,735559680,64438272,27930624,202690560,95744000,367927296,401408,63287296,40960,102400
528384,970752,122880,53248,843776,53248,735559680,64438272,27942912,203649024,95744000,368209920,401408,63287296,40960,102400
954368,983040,655360,53248,843776,53248,735559680,64438272,27959296,214134784,95784960,399699968,401408,63287296,40960,102400
954368,1028096,11141120,53248,843776,53248,735559680,64438272,27959296,224636928,95784960,420175872,401408,63287296,40960,102400
954368,1028096,21643264,53248,843776,53248,735559680,64438272,27959296,224636928,106270720,430661632,401408,63287296,40960,102400
11440128,11513856,32129024,53248,843776,53248,735559680,64438272,38445056,245125120,106270720,441147392,401408,63287296,40960,102400
21942272,22028288,42119168,53248,843776,53248,735559680,64438272,38445056,266096640,116772864,591626240,401408,63287296,40960,102400
21942272,32514048,42119168,53248,843776,53248,735559680,64438272,48947200,276582400,116772864,615432192,401408,63287296,40960,102400
32428032,52989952,52604928,53248,843776,53248,735559680,64438272,48947200,404287488,116772864,644165632,401408,63287296,40960,102400
32428032,63475712,63090688,53248,843776,53248,735559680,64438272,59432960,432365568,127258624,665993216,401408,63287296,40960,102400
42430464,73961472,73576448,53248,843776,53248,735559680,64438272,69423104,450179072,137248768,665993216,401408,63287296,40960,102400
52916224,221229056,224759808,53248,843776,53248,735559680,64438272,79908864,450215936,158220288,665993216,401408,63287296,40960,102400
52916224,244400128,232460288,53248,843776,53248,735559680,64438272,90394624,467963904,168706048,665993216,401408,63287296,40960,102400
63401984,258998272,252641280,53248,843776,53248,735559680,64438272,100880384,467963904,313618432,665993216,401408,63287296,40960,102400
73887744,278695936,274198528,53248,843776,53248,735559680,64438272,245792768,467963904,342114304,665993216,401408,63287296,40960,102400
229421056,278695936,274264064,53248,843776,53248,735559680,64438272,256614400,467963904,342151168,665993216,401408,63287296,40960,102400
237760512,278695936,274264064,53248,843776,53248,735559680,64438272,274415616,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
265011200,278695936,274264064,53248,843776,53248,735559680,64438272,292163584,467963904,359899136,665993216,401408,63287296,40960,102400
