dockerfiles-laptop-clientapp-0-1,dockerfiles-laptop-supernode-0-1,dockerfiles-serverapp-1,dockerfiles-superlink-1,dockerfiles-desktop-clientapp-0-1,dockerfiles-desktop-clientapp-1-1,dockerfiles-desktop-supernode-0-1,dockerfiles-desktop-supernode-1-1
0,4096,4096,4096,0,0,4096,4096
0,4096,4096,4096,0,0,4096,4096
0,4096,4096,4096,0,0,4096,4096
0,4096,4096,4096,0,0,4096,4096
0,4096,4096,4096,0,0,4096,4096
0,4096,4096,4096,0,0,4096,4096
0,4096,4096,102400,0,0,4096,4096
0,4096,110592,102400,0,0,4096,4096
0,4096,139264,102400,0,0,4096,4096
0,4096,139264,102400,0,0,4096,4096
0,4096,143360,102400,0,0,4096,4096
0,4096,143360,102400,0,0,4096,4096
0,4096,143360,102400,0,0,102400,4096
0,102400,143360,102400,0,106496,102400,102400
106496,102400,143360,102400,110592,135168,102400,102400
106496,102400,143360,102400,143360,139264,102400,102400
139264,102400,143360,102400,147456,139264,102400,102400
155648,102400,143360,102400,147456,139264,102400,102400
155648,102400,143360,102400,163840,155648,102400,102400
155648,102400,143360,102400,163840,155648,102400,102400
155648,102400,143360,102400,39706624,15724544,102400,102400
39698432,102400,143360,102400,39706624,15724544,102400,102400
39698432,102400,143360,102400,39706624,39710720,102400,102400
39698432,102400,143360,102400,39706624,39710720,102400,102400
39698432,102400,143360,102400,39706624,39710720,102400,102400
39698432,102400,143360,102400,39706624,39710720,102400,102400
39698432,102400,143360,102400,39706624,39710720,102400,102400
39698432,102400,143360,102400,39706624,39710720,102400,102400
39698432,102400,143360,102400,39706624,39710720,102400,102400
39698432,102400,143360,102400,39706624,39710720,102400,102400
39698432,102400,143360,102400,39706624,39710720,102400,102400
39698432,102400,143360,102400,39706624,39710720,102400,102400
39698432,102400,143360,102400,39706624,39710720,102400,102400
39698432,102400,143360,102400,39706624,39710720,102400,102400
39698432,102400,143360,102400,39706624,39710720,102400,102400
39698432,102400,143360,102400,39706624,39710720,102400,102400
39702528,102400,143360,102400,39706624,39710720,102400,102400
39702528,102400,143360,102400,39706624,39710720,102400,102400
39702528,102400,143360,102400,39706624,39710720,102400,102400
39702528,102400,143360,102400,39706624,39710720,102400,102400
39702528,102400,143360,102400,39706624,39710720,102400,102400
39702528,102400,143360,102400,39706624,39710720,102400,102400
39702528,102400,143360,102400,39710720,39710720,102400,102400
39702528,102400,143360,102400,39710720,39714816,102400,102400
39702528,102400,143360,102400,39710720,39714816,102400,102400
39702528,102400,143360,102400,39710720,39714816,102400,102400
39702528,102400,143360,102400,39710720,39714816,102400,102400
39702528,102400,143360,102400,39710720,39714816,102400,102400
39702528,102400,143360,102400,39710720,39714816,102400,102400
42856448,102400,143360,102400,39710720,39714816,102400,102400
42856448,102400,143360,102400,39710720,39714816,102400,102400
42856448,102400,147456,102400,39710720,39714816,102400,102400
42856448,102400,147456,102400,39710720,39714816,102400,102400
42856448,102400,147456,102400,39710720,39714816,102400,102400
42856448,102400,147456,102400,39710720,42868736,102400,102400
42856448,102400,147456,102400,39710720,42868736,102400,102400
42856448,102400,147456,102400,39710720,42868736,102400,102400
42856448,102400,147456,102400,39710720,42868736,102400,102400
42856448,102400,147456,102400,39710720,42868736,102400,102400
42856448,102400,147456,102400,39710720,42868736,102400,102400
