dockerfiles-laptop-clientapp-0-1,dockerfiles-laptop-clientapp-1-1,dockerfiles-laptop-supernode-0-1,dockerfiles-laptop-supernode-1-1,dockerfiles-serverapp-1,dockerfiles-superlink-1,dockerfiles-desktop-clientapp-0-1,dockerfiles-desktop-clientapp-1-1,dockerfiles-desktop-clientapp-2-1,dockerfiles-desktop-supernode-0-1,dockerfiles-desktop-supernode-1-1,dockerfiles-desktop-supernode-2-1
128.91320000000002,128.91320000000002,0,88.2941,0,1039.1243,144.0448,0,144.0448,253.10080000000002,0,0
98.2566,141.2802,67.29705,67.29705,117.1521,792.01215,103.72240000000002,103.72240000000002,152.14800000000002,182.2504,144.62240000000003,144.62240000000003
126.58680000000001,126.58680000000001,153.67533333333333,199.9081666666667,120.07513333333334,709.6414333333333,174.58240000000004,90.28160000000001,216.73280000000005,227.98240000000004,185.83200000000002,227.98240000000004
119.24010000000001,155.55190000000002,196.40267500000002,188.306125,113.10635,13200.443375,239.6124,161.5868,200.5996,211.0118,275.1984,266.4996
184.77096,149.80151999999998,189.14213999999998,238.87908,12750.14136,12730.05756,228.04992,153.78943999999998,265.18016,343.58016,261.91872,253.63968
214.11700000000002,221.71470000000002,315.30455,232.76590000000002,12445.723300000001,12404.2813,256.2168,220.3416,292.092,426.8664,398.9904,382.992
210.10028571428575,297.4161571428572,309.3896142857143,364.3997428571429,12212.248542857144,12793.638957142859,319.7718857142857,284.79314285714287,284.79314285714287,515.7001142857142,496.32,373.42171428571424
272.99955,340.80408750000004,398.6995875,406.0478625,12231.8717625,17544.006562500002,313.6254,279.319,313.6254,505.7876,486.78000000000003,471.4812
14115.645644444445,340.11111111111114,15277.444444444445,405.22222222222223,12207,17508.333333333336,333.5555555555556,300.6666666666667,333.5555555555556,539,520.7777777777778,452.00000000000006
14119.487088888889,14157.580366666665,15277.444444444445,15197.88888888889,13042.88888888889,22034.333333333336,263.11111111111114,14732.600844444447,263.11111111111114,15366.555555555557,15557.222222222223,15462.666666666668
14119.487088888889,14163.140255555558,15226.000000000002,15197.88888888889,13192.88888888889,22111.666666666668,14737.045333333335,14727.162533333334,14736.06591111111,15366.555555555557,15459.000000000002,15381.000000000002
14118.148511111112,14688.2599,15155.666666666668,15078.77777777778,13296.333333333334,22111.666666666668,14727.555555555557,14727.162533333334,14687.666666666668,15312.444444444445,15412.222222222223,15301.333333333334
17518.360922222222,14686.921322222222,15108.88888888889,15128.555555555557,13296.333333333334,10851,14661.77777777778,14678.555555555557,14687.666666666668,15326.444444444445,15325.222222222223,15254.555555555557
17515.683766666665,18503.759311111113,15108.88888888889,15074.444444444445,1514.2222222222224,10841.77777777778,20435.583066666666,18244.999066666667,19715.058711111113,15200.000000000002,15339.222222222223,15268.555555555557
357407.9646666667,1561523.572611111,14982.444444444445,15074.444444444445,1740.0000000000002,11021.666666666668,20433.044044444443,305248.22986666666,19694.55555555556,15113.000000000002,15205.444444444445,15182.555555555557
772139.3907333333,1561520.3754,15015.555555555557,14940.666666666668,1847.0000000000002,10687.88888888889,1599600.1041333335,305243.15182222216,658185.6836888889,15067.222222222223,15145.000000000002,15182.555555555557
772136.7135777778,1925928.1646777778,14922.000000000002,14893.88888888889,1792.5555555555557,5764.111111111111,1599600.1041333335,866753.3467555556,1957322.8790222222,15067.222222222223,15145.000000000002,15081.666666666668
1109533.9408222223,1926494.988688889,42.44444444444445,14893.88888888889,1899.5555555555557,5848.777777777778,2022526.9020888892,2028932.9219111113,1957320.3400000003,15013.111111111111,15090.88888888889,15081.666666666668
1109533.6423555554,1925906.4938222223,42.44444444444445,49.77777777777778,1063.6666666666667,717.3333333333334,2022526.9020888892,2027812.4325333333,2030076.6802222223,61.77777777777778,54.44444444444445,71
1931004.785184363,1925056.6434695688,42.42558862727677,49.755664149267,930.6974677920924,639.7156819191471,1978360.1187500001,1984629.8875,1985748.6125,60.659600000000005,53.459,53.459
1931856.9995777777,1925883.4757111112,33.111111111111114,49.77777777777778,1069,640,1994870.75,2001193.2571428572,2002321.3142857142,61.38239999999999,54.09599999999999,54.09599999999999
1931709.8871666666,1925883.4757111112,33.111111111111114,0,1069,683.6666666666667,2006788.4172071475,2013714.7675932052,2014283.785109199,47.42995808515332,54.04809177145378,54.04809177145378
1931709.8871666666,1925718.337722222,33.111111111111114,0,1102.111111111111,676.3333333333334,2006378.982373704,2013462.0996470328,2013925.9569600704,47.42995808515332,40.15001103022281,40.15001103022281
1674328.4444444445,387984,33.111111111111114,0,1002.4444444444446,581.1111111111112,2006378.982373704,1751647.25347452,2013925.9569600704,47.42995808515332,40.15001103022281,0
1233453.1111111112,387984,0,0,1009.7777777777778,303,429693.7672366243,1751840.4853833423,1393838.499724214,0,0,0
1233453.1111111112,602.5555555555555,0,0,869.8888888888889,303,429693.7672366243,1181349.3656922227,73920.0220628792,0,0,0
874161.1111111111,0,0,0,1009.7777777777778,303,0,579.0402647545504,73920.0220628792,0,0,0
874161.1111111111,0,0,0,1231.111111111111,303,0,579.0402647545504,0,0,0,0
0,0,0,0,1124.6109381947533,387.8390395731436,0,0,0,0,0,0
0,0,0,0,1009.7777777777778,387.6666666666667,0,0,0,0,0,0
0,0,0,0,1009.7777777777778,254.00000000000003,0,0,0,0,0,0
0,0,0,33.111111111111114,1083.6666666666667,435.8888888888889,0,0,0,0,0,0
0,0,0,33.111111111111114,936.4444444444445,351.22222222222223,0,0,0,0,0,0
0,0,0,33.111111111111114,1076.3333333333335,351.22222222222223,0,0,0,0,0,0
0,0,0,33.111111111111114,1330.5555555555557,530.8888888888889,0,0,0,40.44444444444445,0,0
0,0,0,33.111111111111114,1198,446.22222222222223,0,0,0,40.44444444444445,0,33.111111111111114
0,0,0,33.111111111111114,1083.6666666666667,636.4444444444445,0,0,0,40.44444444444445,40.44444444444445,33.111111111111114
0,0,33.111111111111114,33.111111111111114,1083.6666666666667,551.7777777777778,0,0,0,40.44893877097456,40.44893877097456,33.11479053228137
0,0,33.111111111111114,33.111111111111114,1183.3333333333335,733.6666666666667,0,0,0,40.44893877097456,40.44893877097456,33.11479053228137
0,0,33.111111111111114,33.111111111111114,1183.3333333333335,738.3333333333334,0,0,0,40.44893877097456,40.44893877097456,33.11479053228137
0,0,33.111111111111114,0,1083.6666666666667,641.1111111111112,0,0,0,40.4399511165426,40.4399511165426,33.10743250749916
0,0,33.111111111111114,0,1223.5555555555557,641.1111111111112,0,0,0,45.111111111111114,40.44444444444445,37.77777777777778
0,0,33.111111111111114,0,1223.7777777777778,698.8888888888889,0,0,0,45.111111111111114,45.111111111111114,37.77777777777778
0,0,33.111111111111114,0,969.5555555555557,519.2222222222223,0,0,0,4.666666666666667,45.111111111111114,37.77777777777778
0,0,33.111111111111114,0,1002.4444444444446,596.5555555555555,0,0,0,4.666666666666667,45.111111111111114,4.666666666666667
0,0,33.09640159928921,0,1108.9515770768548,406.1528209684585,0,0,0,4.666666666666667,4.666666666666667,4.666666666666667
0,0,0,0,1109.4444444444446,406.33333333333337,0,0,0,4.666666666666667,4.666666666666667,4.666666666666667
0,0,0,0,1017.1111111111112,309.11111111111114,0,0,0,4.666666666666667,4.666666666666667,4.666666666666667
0,0,0,0,1017.1111111111112,304.44444444444446,0,0,0,4.666666666666667,4.666666666666667,4.666666666666667
0,0,0,0,1116.7777777777778,219.7777777777778,0,0,0,4.667185242804756,4.667185242804756,4.667185242804756
0,0,0,0,976.5633677663002,304.3429967788515,0,0,0,0,4.666666666666667,0
0,0,0,0,954.6666666666667,246.66666666666669,0,0,0,0,0,0
0,0,0,0,954.6666666666667,246.66666666666669,0,0,0,0,0,0
0,0,0,33.111111111111114,1061.6666666666667,444.33333333333337,0,0,0,40.44444444444445,0,40.44444444444445
0,0,0,33.12583370386839,848.0435749221876,444.5309026233882,0,0,0,40.00815,0,40.00815
0,0,33.111111111111114,33.111111111111114,1061.6666666666667,634.6666666666667,0,0,0,40.523599999999995,0,40.523599999999995
0,0,33.111111111111114,33.111111111111114,1161.3333333333335,729.7777777777778,0,0,0,40.36371701042359,0,40.36371701042359
