dockerfiles-laptop-clientapp-0-1,dockerfiles-laptop-clientapp-1-1,dockerfiles-laptop-clientapp-2-1,dockerfiles-laptop-supernode-0-1,dockerfiles-laptop-supernode-1-1,dockerfiles-laptop-supernode-2-1,dockerfiles-serverapp-1,dockerfiles-superlink-1,dockerfiles-desktop-clientapp-0-1,dockerfiles-desktop-clientapp-1-1,dockerfiles-desktop-clientapp-2-1,dockerfiles-desktop-clientapp-3-1,dockerfiles-desktop-supernode-0-1,dockerfiles-desktop-supernode-1-1,dockerfiles-desktop-supernode-2-1,dockerfiles-desktop-supernode-3-1
12288,12288,12288,12288,12288,12288,20480,12288,0,8192,0,0,4096,8192,4096,4096
12288,12288,12288,12288,12288,12288,20480,12288,0,8192,0,0,4096,8192,4096,4096
12288,12288,12288,12288,12288,12288,20480,12288,0,8192,0,0,4096,8192,4096,4096
12288,12288,12288,12288,12288,12288,20480,12288,0,8192,0,0,4096,8192,4096,4096
12288,12288,12288,12288,12288,12288,20480,12288,0,8192,0,0,4096,8192,4096,4096
12288,12288,12288,12288,12288,12288,167936,122880,0,8192,0,0,4096,8192,4096,4096
12288,12288,12288,12288,12288,12288,167936,122880,0,8192,0,0,4096,8192,4096,4096
12288,12288,12288,12288,12288,12288,217088,122880,0,8192,0,0,4096,8192,4096,4096
12288,12288,12288,12288,12288,12288,217088,122880,0,8192,0,0,4096,8192,4096,4096
12288,12288,12288,12288,12288,12288,217088,122880,0,8192,0,0,4096,8192,4096,4096
12288,163840,163840,131072,122880,131072,217088,122880,0,8192,0,0,4096,8192,4096,4096
163840,208896,208896,131072,122880,131072,217088,122880,0,8192,0,0,4096,118784,4096,4096
163840,208896,208896,131072,122880,131072,217088,122880,0,131072,0,0,4096,118784,4096,4096
192512,212992,212992,131072,122880,131072,217088,122880,0,131072,118784,122880,114688,118784,114688,114688
192512,212992,229376,131072,122880,131072,217088,122880,118784,159744,147456,122880,114688,118784,114688,114688
192512,258048,229376,131072,122880,131072,217088,122880,118784,159744,147456,122880,114688,118784,114688,114688
217088,10743808,15814656,131072,122880,131072,217088,122880,118784,163840,151552,151552,114688,118784,114688,114688
245760,10743808,15814656,131072,122880,131072,217088,122880,151552,184320,167936,155648,114688,118784,114688,114688
36491264,39706624,39694336,131072,122880,131072,217088,122880,151552,184320,167936,155648,114688,118784,114688,114688
36491264,39706624,39694336,131072,122880,131072,217088,122880,167936,10670080,167936,172032,114688,118784,114688,114688
