dockerfiles-laptop-clientapp-0-1,dockerfiles-laptop-supernode-0-1,dockerfiles-serverapp-1,dockerfiles-superlink-1,dockerfiles-desktop-clientapp-0-1,dockerfiles-desktop-clientapp-1-1,dockerfiles-desktop-supernode-0-1,dockerfiles-desktop-supernode-1-1
140.61399999999998,0,529.091,0,0,0,336.29429999999996,267.11909999999995
112.22465069860279,45.049800399201594,469.5575349301397,0,140.4877,129.4756,240.09715,289.48475
206.00933333333333,217.264,858.2573333333335,0,182.5877,182.5877,293.61490000000003,250.82316666666668
196.607,241.90599999999998,825.4224999999999,210.617,224.68769999999998,224.68769999999998,423.49094999999994,423.49094999999994
238.70699999999997,234.96479999999997,801.7379999999999,204.57359999999997,266.7877,266.7877,402.27275999999995,402.27275999999995
327.60816666666665,390.0838333333333,1171.5855,200.54466666666667,308.8877,257.40641666666664,460.5190333333333,563.9707333333333
322.907,384.48614285714285,1165.2921428571428,569.2235714285714,350.9877,350.9877,448.53060000000005,584.5428
365.007,444.445875,1152.568125,563.008125,343.9517375,343.9517375,607.37185,607.37185
421.00000000000006,589.7777777777778,1492.8075555555556,11228.88888888889,421.00000000000006,411.7777777777778,625.7777777777778,712.4444444444445
421.00000000000006,589.7777777777778,1650.6666666666667,11356.88888888889,482.44444444444446,411.7777777777778,607.5555555555555,585.4444444444445
421.1871943085816,600.0444642063139,1651.4006224988884,11361.938639395286,388.8888888888889,417.22222222222223,607.5555555555555,598.2222222222223
402.5555555555556,603.4444444444445,1582.888888888889,11514.444444444445,417.22222222222223,433.7777777777778,620.3333333333334,1614.7777777777778
402.5555555555556,570.5555555555555,1576.888888888889,11354.222222222223,370.44444444444446,387,493.33333333333337,1454.888888888889
426.44444444444446,636.5555555555555,6426.555555555556,11354.222222222223,377.7777777777778,806.7777777777778,16039.77777777778,15994.88888888889
370.44444444444446,15809.271666666667,6229.777777777778,25143.025555555552,773.6666666666667,806.7777777777778,15974.000000000002,15835.111111111111
813.1111111111112,15809.271666666667,6219.111111111111,38351.099777777774,726.8888888888889,713.2222222222223,15990.555555555557,15899.555555555557
766.3333333333334,15823.334888888889,6453.88888888889,38351.099777777774,726.8888888888889,713.2222222222223,15830.77777777778,15866.666666666668
736.1111111111112,15715.000000000002,6479.333333333334,43988,1165,1721.1111111111113,15879.77777777778,15732.444444444445
1222.3333333333335,15715.000000000002,6109.777777777778,43940.88888888889,14519.222222222223,11189,15738.111111111111,15732.444444444445
2871.2222222222226,15755.222222222223,6109.777777777778,43940.88888888889,14519.222222222223,13970.666666666668,15738.111111111111,15653.88888888889
2795.179384649561,15586.58225036099,6201.710540930801,43834.72175941353,17836.222222222223,13900.000000000002,15659.555555555557,14637.333333333334
5346.222222222223,15591.77777777778,6203.777777777778,43842,17836.222222222223,13900.000000000002,15659.555555555557,14637.333333333334
5275.555555555556,15525.77777777778,1739.1111111111113,43842,17786.777777777777,13438.111111111111,113.11111111111111,97.33333333333334
5208.521911910807,103.65382492548846,1951.8710674467382,28885.307429076056,17344.111111111113,13438.111111111111,113.11111111111111,97.33333333333334
