dockerfiles-laptop-clientapp-0-1,dockerfiles-laptop-clientapp-1-1,dockerfiles-laptop-supernode-0-1,dockerfiles-laptop-supernode-1-1,dockerfiles-serverapp-1,dockerfiles-superlink-1,dockerfiles-desktop-clientapp-0-1,dockerfiles-desktop-clientapp-1-1,dockerfiles-desktop-clientapp-2-1,dockerfiles-desktop-supernode-0-1,dockerfiles-desktop-supernode-1-1,dockerfiles-desktop-supernode-2-1
0,0,4096,4096,4096,4096,0,0,0,4096,4096,4096
0,0,4096,4096,4096,4096,0,0,0,4096,4096,4096
0,0,4096,4096,4096,4096,0,0,0,4096,4096,4096
0,0,4096,4096,4096,4096,0,0,0,4096,4096,4096
0,0,4096,4096,53248,4096,0,0,0,4096,4096,4096
0,0,4096,4096,53248,40960,53248,0,0,40960,4096,4096
0,0,4096,4096,81920,40960,53248,49152,49152,40960,4096,40960
0,0,4096,4096,86016,40960,53248,77824,49152,40960,40960,40960
0,0,40960,40960,86016,40960,81920,77824,77824,40960,40960,40960
81920,81920,40960,40960,86016,40960,81920,81920,81920,40960,40960,40960
81920,81920,40960,40960,86016,40960,86016,81920,81920,40960,40960,40960
135168,126976,40960,40960,86016,40960,86016,81920,81920,40960,40960,40960
135168,135168,40960,40960,86016,40960,86016,81920,81920,40960,40960,40960
135168,135168,40960,40960,86016,40960,86016,81920,81920,40960,40960,40960
135168,135168,40960,40960,86016,40960,86016,81920,81920,40960,40960,40960
135168,135168,40960,40960,86016,40960,86016,81920,81920,40960,40960,40960
135168,135168,40960,40960,86016,40960,86016,81920,81920,40960,40960,40960
135168,135168,40960,40960,86016,40960,86016,81920,81920,40960,40960,40960
135168,135168,40960,40960,86016,40960,86016,81920,81920,40960,40960,40960
135168,135168,40960,40960,86016,40960,86016,81920,98304,40960,40960,40960
135168,135168,40960,40960,86016,40960,102400,98304,98304,40960,40960,40960
135168,135168,40960,40960,86016,40960,10588160,10584064,98304,40960,40960,40960
135168,135168,40960,40960,86016,40960,15671296,10584064,98304,40960,40960,40960
163840,163840,40960,40960,86016,40960,15671296,15667200,10584064,40960,40960,40960
10665984,180224,40960,40960,86016,40960,39579648,39575552,39575552,40960,40960,40960
39657472,180224,40960,40960,86016,40960,39579648,39575552,39575552,40960,40960,40960
39657472,39657472,40960,40960,86016,40960,39579648,39575552,39575552,40960,40960,40960
39657472,39657472,40960,40960,86016,40960,39579648,39575552,39575552,40960,40960,40960
39657472,39657472,40960,40960,86016,40960,39579648,39575552,39575552,40960,40960,40960
39657472,39657472,40960,40960,86016,40960,39579648,39575552,39575552,40960,40960,40960
39657472,39657472,40960,40960,86016,40960,39579648,39575552,39575552,40960,40960,40960
