dockerfiles-laptop-clientapp-0-1,dockerfiles-laptop-clientapp-1-1,dockerfiles-laptop-clientapp-2-1,dockerfiles-laptop-supernode-0-1,dockerfiles-laptop-supernode-1-1,dockerfiles-laptop-supernode-2-1,dockerfiles-serverapp-1,dockerfiles-superlink-1,dockerfiles-desktop-clientapp-0-1,dockerfiles-desktop-clientapp-1-1,dockerfiles-desktop-clientapp-2-1,dockerfiles-desktop-clientapp-3-1,dockerfiles-desktop-supernode-0-1,dockerfiles-desktop-supernode-1-1,dockerfiles-desktop-supernode-2-1,dockerfiles-desktop-supernode-3-1
12288,16736256,12288,12288,802816,12288,46579712,63889408,49152,36864,49152,63668224,36864,385024,36864,63270912
12288,16736256,12288,12288,802816,12288,46579712,63889408,49152,36864,49152,63668224,36864,385024,36864,63270912
12288,16736256,12288,12288,802816,12288,46579712,64012288,49152,36864,49152,63668224,36864,385024,36864,63270912
12288,16736256,12288,12288,802816,12288,356225024,64012288,49152,36864,49152,63668224,36864,385024,36864,63270912
12288,16736256,12288,12288,802816,12288,551612416,64012288,49152,36864,49152,63668224,36864,385024,36864,63270912
12288,16736256,12288,12288,802816,12288,619798528,64012288,49152,36864,49152,63668224,167936,532480,36864,63270912
12288,17154048,12288,118784,909312,118784,619798528,64012288,165646336,72773632,58908672,90300416,167936,532480,167936,63401984
155648,17162240,155648,118784,909312,118784,619798528,64012288,212090880,106328064,107732992,133808128,167936,532480,167936,63401984
184320,17371136,184320,118784,909312,118784,619798528,64012288,237486080,131600384,119844864,145858560,167936,532480,167936,63401984
184320,17371136,184320,118784,909312,118784,619798528,64012288,237522944,131653632,121888768,148070400,167936,532480,167936,63401984
184320,17371136,184320,118784,909312,118784,619798528,64012288,271597568,131690496,133480448,148070400,167936,532480,167936,63401984
184320,17371136,184320,118784,909312,118784,619798528,64012288,300556288,147271680,138563584,148070400,167936,532480,167936,63401984
184320,17371136,1310720,118784,909312,118784,619798528,64012288,300556288,171151360,162443264,148070400,167936,532480,167936,63401984
184320,17371136,64073728,118784,909312,118784,619798528,64012288,300556288,171151360,162443264,148070400,167936,532480,167936,63401984
184320,17371136,64192512,118784,909312,118784,619798528,64012288,300556288,171151360,162443264,148070400,167936,532480,167936,63401984
