dockerfiles-laptop-clientapp-0-1,dockerfiles-laptop-clientapp-1-1,dockerfiles-laptop-clientapp-2-1,dockerfiles-laptop-supernode-0-1,dockerfiles-laptop-supernode-1-1,dockerfiles-laptop-supernode-2-1,dockerfiles-serverapp-1,dockerfiles-superlink-1,dockerfiles-desktop-clientapp-0-1,dockerfiles-desktop-clientapp-1-1,dockerfiles-desktop-clientapp-2-1,dockerfiles-desktop-clientapp-3-1,dockerfiles-desktop-supernode-0-1,dockerfiles-desktop-supernode-1-1,dockerfiles-desktop-supernode-2-1,dockerfiles-desktop-supernode-3-1
39288832,39292928,39301120,46211072,46227456,46227456,40714240,47218688,48005120,45928448,47984640,45895680,46489600,46452736,46452736,46485504
39297024,39297024,39301120,46223360,46227456,46227456,40820736,47230976,48005120,45928448,47988736,45899776,46489600,46452736,46452736,46485504
39301120,39301120,39301120,46231552,46231552,46231552,170102784,47423488,48009216,45932544,47988736,45903872,46493696,46456832,46456832,46489600
39301120,39301120,39305216,46239744,46231552,46231552,403050496,47431680,48009216,45932544,47988736,45903872,46493696,46456832,46456832,46489600
39301120,39301120,39305216,46239744,46231552,46239744,444739584,47439872,48009216,45932544,47992832,45903872,46501888,46465024,46456832,46489600
39305216,39301120,39305216,46247936,46243840,46239744,472899584,47439872,48013312,45936640,47996928,45907968,46505984,46465024,46469120,46497792
39305216,51961856,276226048,49864704,47329280,47329280,504672256,53391360,213696512,52355072,47996928,173023232,47419392,47403008,49979392,47382528
427089920,465432576,474742784,47263744,47329280,47329280,504672256,50552832,362655744,310452224,321388544,364290048,47423488,47411200,47357952,47382528
483221504,482721792,481468416,47263744,47329280,47329280,504672256,50552832,456613888,462147584,457400320,444174336,47423488,47411200,47357952,47382528
494309376,485761024,487727104,47263744,47329280,47329280,504672256,50552832,510795776,502210560,515452928,476880896,47423488,47411200,47357952,47382528
1186312192,490414080,497672192,47263744,47329280,47329280,504672256,50552832,522833920,518787072,515493888,514449408,47423488,47411200,47357952,47382528
1245687808,498860032,718766080,47263744,47329280,47329280,504672256,50552832,524931072,527286272,522240000,521084928,47423488,47411200,47357952,47382528
1070481408,1100570624,1098489856,47263744,47329280,47329280,504676352,50552832,547921920,1329455104,539082752,1037721600,47423488,47411200,47357952,47382528
1070481408,1186582528,1206841344,47263744,47329280,47329280,504676352,50552832,747188224,1428582400,545857536,1317412864,47423488,47411200,47357952,47382528
1474310144,1208975360,1267617792,47263744,47329280,47329280,504676352,50556928,1101029376,1428582400,1037975552,1317412864,47423488,47411200,47357952,47382528
1474310144,1269719040,993345536,47263744,47329280,47329280,504676352,50556928,1257013248,1428582400,1188323328,1317412864,47423488,47411200,47357952,47382528
1474310144,996380672,993345536,47263744,47329280,47329280,504676352,50556928,1257168896,1379151872,1254973440,1341300736,47423488,47411200,47357952,47382528
1026560000,996380672,1274163200,47263744,47329280,47329280,504676352,50556928,1317900288,980832256,1255100416,1091665920,47423488,47411200,47357952,47382528
1198157824,1400209408,1274163200,47263744,47329280,47329280,504676352,50556928,1359204352,1135656960,1255227392,1091665920,47423488,47411200,47357952,47382528
1276059648,1400209408,1248485376,47263744,47329280,47329280,504676352,50556928,1043677184,1278107648,1293946880,1091665920,47423488,47411200,47357952,47382528
1276059648,952459264,1048416256,47263744,47329280,47329280,504676352,50565120,1043677184,1289183232,993955840,1292627968,47423488,47411200,47357952,47382528
1276190720,952459264,1198923776,47263744,47329280,47329280,504676352,50565120,1324494848,1289183232,1249869824,1292627968,47423488,47411200,47357952,47382528
1075990528,1202094080,1323728896,47263744,47329280,47329280,504676352,50565120,1324494848,1254350848,1285701632,1292627968,47423488,47411200,47357952,47382528
1075990528,1321402368,1323728896,47263744,47329280,47329280,504676352,50565120,1324494848,1078931456,1296777216,1292759040,47423488,47411200,47357952,47382528
1350402048,1321402368,1323728896,47263744,47329280,47329280,504676352,50565120,1324494848,1078931456,1309589504,1018343424,47423488,47411200,47357952,47382528
1350402048,1246158848,1074094080,47263744,47329280,47329280,504676352,50565120,1377673216,1078931456,1187463168,1018343424,47423488,47427584,47357952,47382528
1350402048,1095655424,1074094080,47263744,47329280,47329280,504676352,50569216,1074860032,1303781376,975585280,1141837824,47423488,47411200,47357952,47382528
1350402048,1095655424,1074094080,47263744,47329280,47329280,504676352,50569216,1074860032,1303781376,975585280,1317408768,47423488,47411200,47357952,47382528
1026560000,1295724544,1298944000,47263744,47329280,47329280,504676352,50569216,1324490752,1303781376,975585280,1317408768,47423488,47411200,47357952,47382528
1026564096,1296617472,1298944000,47263744,47329280,47329280,504676352,50569216,1324490752,1303781376,1324212224,1317408768,47423488,47411200,47357952,47382528
1276198912,1320505344,1298944000,47263744,47329280,47329280,504676352,50569216,1324490752,1204649984,1324212224,1341296640,47423488,47411200,47357952,47382528
1276198912,1270939648,950321152,47263744,47329280,47329280,504676352,50573312,1324490752,1005613056,1324212224,1117339648,47423488,47411200,47357952,47382528
1276198912,1037852672,950321152,47263744,47329280,47329280,504676352,50573312,1324490752,1156116480,1324212224,1117339648,47423488,47411200,47357952,47382528
1026564096,1262571520,1224605696,47263744,47329280,47329280,504676352,50573312,1324490752,1304678400,1274646528,1117339648,47423488,47411200,47357952,47382528
1026564096,1273647104,1257832448,47263744,47329280,47329280,504676352,50573312,1124421632,1304678400,1074577408,1366974464,47423488,47411200,47357952,47382528
1325625344,1286459392,1259569152,47263744,47329280,47329280,504676352,50573312,1124421632,1304678400,1074577408,1366974464,47423488,47411200,47357952,47382528
1325625344,1151496192,1161330688,47263744,47329280,47329280,504676352,50573312,1299705856,1304678400,1274646528,1366974464,47423488,47411200,47357952,47382528
1325625344,1050562560,1010827264,47263744,47329280,47329280,504676352,50573312,1299705856,1205547008,1324212224,1366974464,47423488,47411200,47357952,47382528
1226977280,1300197376,1298948096,47263744,47329280,47329280,504676352,50573312,1299705856,1055043584,1324212224,1366974464,47423488,47411200,47357952,47382528
1076125696,1324085248,1298948096,47263744,47329280,47329280,504676352,50573312,1323593728,1055043584,1324212224,1018343424,47423488,47411200,47357952,47382528
1300844544,1324085248,1298948096,47263744,47329280,47329280,504676352,50573312,1250140160,1279995904,1324212224,1018343424,47423488,47411200,47357952,47382528
1300844544,1324085248,1199816704,47263744,47329280,47329280,504676352,50573312,1149202432,1303781376,1200304128,1218412544,47423488,47411200,47357952,47382528
1300844544,1274519552,1049313280,47263744,47329280,47329280,504676352,50573312,1149202432,1303781376,950804480,1267978240,47423488,47411200,47357952,47382528
1201717248,1074450432,1049313280,47263744,47329280,47329280,504676352,50577408,1250140160,1303781376,950804480,1291739136,47423488,47411200,47357952,47382528
1051213824,1275412480,1298948096,47263744,47329280,47329280,504676352,50577408,1374052352,1327669248,1101307904,1291739136,47423488,47411200,47357952,47382528
1350410240,1275412480,1298948096,47263744,47329280,47329280,504676352,50577408,1374052352,1228537856,1225089024,1315627008,47423488,47411200,47357952,47382528
1350410240,1275412480,1298948096,47263744,47329280,47329280,504676352,50577408,1374052352,1127600128,1272864768,1218412544,47423488,47411200,47357952,47382528
1350410240,1225846784,975101952,47263744,47329280,47329280,504676352,50577408,1324486656,1127600128,1272864768,1018343424,47423488,47411200,47357952,47382528
1280131072,1075343360,1224601600,47263744,47329280,47329280,504676352,50577408,1025429504,1127600128,1296752640,1018343424,47423488,47411200,47357952,47382528
1100775424,1275412480,1274167296,47263744,47329280,47329280,504676352,50577408,1025429504,1377234944,1249107968,1193500672,47423488,47411200,47357952,47382528
1300844544,1299300352,1274167296,47263744,47329280,47329280,504676352,50577408,1025429504,1316753408,1024122880,1339510784,47423488,47411200,47357952,47382528
1300844544,1323188224,1274167296,47263744,47329280,47329280,504676352,50577408,1299709952,1316753408,1224192000,1339510784,47423488,47411200,47357952,47382528
1300844544,1100124160,1236250624,47263744,47329280,47329280,504676352,50577408,1299709952,1316753408,1309589504,1339510784,47423488,47411200,47357952,47382528
