dockerfiles-laptop-clientapp-0-1,dockerfiles-laptop-clientapp-1-1,dockerfiles-laptop-clientapp-2-1,dockerfiles-laptop-supernode-0-1,dockerfiles-laptop-supernode-1-1,dockerfiles-laptop-supernode-2-1,dockerfiles-serverapp-1,dockerfiles-superlink-1,dockerfiles-desktop-clientapp-0-1,dockerfiles-desktop-clientapp-1-1,dockerfiles-desktop-clientapp-2-1,dockerfiles-desktop-clientapp-3-1,dockerfiles-desktop-supernode-0-1,dockerfiles-desktop-supernode-1-1,dockerfiles-desktop-supernode-2-1,dockerfiles-desktop-supernode-3-1
12288,14192640,12288,12288,802816,12288,49508352,63893504,49152,36864,63668224,36864,385024,69632,63381504,81920
12288,14192640,12288,12288,802816,12288,49508352,63893504,49152,36864,63668224,36864,385024,69632,63381504,81920
12288,14192640,12288,12288,802816,12288,49508352,64024576,49152,36864,63668224,36864,385024,69632,63381504,81920
12288,14192640,12288,12288,802816,12288,314851328,64024576,49152,36864,63668224,36864,385024,69632,63381504,81920
12288,14192640,12288,12288,802816,12288,556060672,64024576,49152,36864,63668224,36864,385024,69632,63381504,81920
12288,14192640,12288,12288,802816,12288,615346176,64024576,49152,36864,63668224,36864,540672,69632,63381504,81920
12288,14192640,12288,12288,802816,12288,622833664,64024576,88608768,36864,63840256,46161920,540672,196608,63508480,196608
155648,14192640,12288,126976,917504,126976,622833664,64024576,147668992,100237312,63840256,46161920,540672,196608,63508480,196608
163840,14626816,155648,126976,917504,126976,622833664,64024576,192126976,126095360,72306688,86798336,540672,196608,63508480,196608
192512,14905344,188416,126976,917504,126976,622833664,64024576,203014144,163295232,117219328,111161344,540672,196608,63508480,196608
10723328,26365952,217088,126976,917504,126976,622833664,64024576,214732800,165400576,127512576,132288512,540672,196608,63508480,196608
34541568,78741504,10719232,126976,917504,126976,622833664,64024576,215228416,166027264,127606784,132317184,540672,196608,63508480,196608
39686144,78741504,39682048,126976,917504,126976,622833664,64024576,225714176,181596160,167067648,188620800,540672,196608,63508480,196608
39686144,78741504,39682048,126976,917504,126976,622833664,64024576,254676992,205488128,167067648,195280896,540672,196608,63508480,196608
39686144,78741504,39682048,126976,917504,126976,622833664,64024576,254676992,205488128,167067648,195280896,540672,196608,63508480,196608
