dockerfiles-laptop-clientapp-0-1,dockerfiles-laptop-clientapp-1-1,dockerfiles-laptop-clientapp-2-1,dockerfiles-laptop-supernode-0-1,dockerfiles-laptop-supernode-1-1,dockerfiles-laptop-supernode-2-1,dockerfiles-serverapp-1,dockerfiles-superlink-1,dockerfiles-desktop-clientapp-0-1,dockerfiles-desktop-clientapp-1-1,dockerfiles-desktop-clientapp-2-1,dockerfiles-desktop-clientapp-3-1,dockerfiles-desktop-supernode-0-1,dockerfiles-desktop-supernode-1-1,dockerfiles-desktop-supernode-2-1,dockerfiles-desktop-supernode-3-1
39305216,39313408,39309312,46231552,46219264,46227456,40718336,47239168,45924352,47988736,47992832,47992832,46473216,46432256,46489600,46477312
39305216,39313408,39309312,46231552,46223360,46231552,40718336,47374336,45924352,47988736,47992832,47996928,46473216,46432256,46493696,46477312
39309312,39313408,39309312,46235648,46223360,46231552,299491328,47443968,45928448,47992832,47996928,47996928,46477312,46436352,46493696,46481408
39309312,39313408,39309312,46235648,46227456,46231552,360013824,47448064,45928448,47992832,47996928,48001024,46477312,46436352,46510080,46485504
39309312,39317504,39313408,46239744,46227456,46235648,460640256,47456256,45932544,47996928,48001024,48001024,46477312,46440448,46518272,46497792
39313408,39317504,238399488,49836032,46227456,46235648,472559616,52482048,45932544,47996928,48001024,48005120,46493696,46456832,46526464,46497792
378068992,39317504,424751104,47202304,46235648,47214592,503623680,53039104,306860032,54730752,256155648,48005120,47386624,50470912,47431680,46505984
475623424,339128320,482525184,47202304,47411200,47214592,503623680,50417664,306860032,54730752,256155648,48005120,47386624,50470912,47431680,46505984
482430976,446361600,487530496,47202304,47411200,47214592,503623680,50421760,382996480,402391040,358268928,48005120,47386624,47517696,47431680,50114560
498446336,492896256,1249681408,47202304,47411200,47214592,503623680,50421760,437039104,460414976,488480768,484409344,47386624,47517696,47431680,47448064
968728576,499675136,1249677312,47202304,47411200,47214592,503623680,50421760,513064960,505294848,512856064,515600384,47386624,47517696,47431680,47448064
1116848128,1043881984,1273565184,47202304,47411200,47214592,503623680,50421760,519180288,521650176,514244608,515665920,47386624,47517696,47431680,47448064
1208541184,1142079488,1224892416,47202304,47411200,47214592,503627776,50421760,523374592,1315299328,523845632,526655488,47386624,47517696,47431680,47448064
1221541888,1208832000,1000177664,47202304,47411200,47214592,503627776,50421760,545689600,1321963520,543191040,772124672,47386624,47517696,47431680,47448064
947298304,1236340736,1000177664,47202304,47411200,47214592,503627776,50421760,554573824,1321963520,552656896,1140432896,47386624,47517696,47431680,47448064
