dockerfiles-laptop-clientapp-0-1,dockerfiles-laptop-clientapp-1-1,dockerfiles-laptop-supernode-0-1,dockerfiles-laptop-supernode-1-1,dockerfiles-serverapp-1,dockerfiles-superlink-1,dockerfiles-desktop-clientapp-0-1,dockerfiles-desktop-clientapp-1-1,dockerfiles-desktop-clientapp-2-1,dockerfiles-desktop-supernode-0-1,dockerfiles-desktop-supernode-1-1,dockerfiles-desktop-supernode-2-1
12288,225280,12288,802816,63737856,64131072,49152,63680512,36864,36864,63619072,262144
12288,225280,12288,802816,63737856,64131072,49152,63680512,36864,36864,63619072,262144
12288,225280,12288,802816,63737856,64131072,49152,63680512,36864,36864,63619072,262144
12288,225280,12288,802816,63737856,64188416,49152,63680512,36864,36864,63619072,262144
12288,225280,12288,802816,328138752,64188416,49152,63680512,36864,36864,63619072,262144
12288,225280,12288,802816,328138752,64188416,49152,63680512,36864,36864,63619072,262144
12288,225280,12288,802816,470896640,64188416,49152,63680512,36864,36864,63619072,262144
12288,225280,12288,802816,470896640,64188416,49152,63680512,36864,36864,63619072,262144
12288,225280,12288,802816,578424832,64188416,49152,63680512,36864,36864,63619072,262144
12288,225280,12288,802816,626106368,64188416,49152,63680512,36864,36864,63619072,262144
12288,225280,12288,802816,626106368,64188416,49152,63680512,36864,36864,63619072,262144
12288,225280,12288,802816,626106368,64188416,49152,63680512,36864,36864,63700992,262144
110592,225280,53248,843776,626106368,64188416,49152,321548288,36864,36864,63700992,327680
110592,299008,53248,843776,626106368,64188416,2375680,321548288,208896,102400,63700992,327680
118784,307200,53248,843776,626106368,64188416,2375680,382038016,28106752,102400,63700992,327680
118784,352256,53248,843776,626106368,64188416,40570880,427433984,28106752,102400,63700992,327680
757760,352256,53248,843776,626106368,64188416,71045120,427433984,67469312,102400,63700992,327680
757760,352256,53248,843776,626106368,64188416,71045120,453165056,67469312,102400,63700992,327680
757760,352256,53248,843776,626106368,64188416,92459008,453165056,83197952,102400,63700992,327680
757760,352256,53248,843776,626106368,64188416,92459008,453165056,83197952,102400,63700992,327680
1146880,352256,53248,843776,626106368,64188416,92459008,453165056,83197952,102400,63700992,327680
1146880,352256,53248,843776,626106368,64188416,92459008,453165056,83636224,102400,63700992,327680
1146880,352256,53248,843776,626106368,64188416,92508160,453201920,83636224,102400,63700992,327680
1146880,352256,53248,843776,626106368,64188416,92508160,453201920,83636224,102400,63700992,327680
1146880,352256,53248,843776,626106368,64188416,92508160,453201920,83636224,102400,63700992,327680
1146880,352256,53248,843776,626106368,64188416,92508160,453201920,83636224,102400,63700992,327680
1146880,352256,53248,843776,626106368,64188416,92508160,453545984,83636224,102400,63700992,327680
1146880,352256,53248,843776,626106368,64188416,93220864,453545984,83636224,102400,63700992,327680
2191360,380928,53248,843776,626106368,64188416,93986816,453877760,83636224,102400,63700992,327680
2191360,380928,53248,843776,626106368,64188416,93986816,453877760,83750912,102400,63700992,327680
