dockerfiles-laptop-clientapp-0-1,dockerfiles-laptop-clientapp-1-1,dockerfiles-laptop-clientapp-2-1,dockerfiles-laptop-supernode-0-1,dockerfiles-laptop-supernode-1-1,dockerfiles-laptop-supernode-2-1,dockerfiles-serverapp-1,dockerfiles-superlink-1,dockerfiles-desktop-clientapp-0-1,dockerfiles-desktop-clientapp-1-1,dockerfiles-desktop-clientapp-2-1,dockerfiles-desktop-clientapp-3-1,dockerfiles-desktop-supernode-0-1,dockerfiles-desktop-supernode-1-1,dockerfiles-desktop-supernode-2-1,dockerfiles-desktop-supernode-3-1
12288,12288,24080384,12288,12288,802816,39366656,64270336,17870848,14704640,13795328,16769024,204800,417792,63246336,36864
12288,12288,24080384,12288,12288,802816,39366656,64270336,17870848,14704640,13795328,16769024,204800,417792,63246336,36864
12288,12288,24080384,12288,12288,802816,39366656,64270336,17870848,14704640,13795328,16769024,204800,417792,63246336,36864
12288,12288,24080384,12288,12288,802816,39366656,64270336,17870848,14704640,13795328,16769024,204800,417792,63246336,36864
12288,12288,24080384,12288,12288,802816,39366656,64323584,17870848,14704640,13795328,16769024,204800,417792,63246336,36864
12288,12288,24080384,12288,12288,802816,39366656,64323584,17870848,14704640,13795328,16769024,204800,417792,63246336,36864
12288,12288,24080384,12288,12288,802816,39366656,64323584,17870848,14704640,13795328,16769024,204800,417792,63246336,36864
12288,12288,24080384,12288,12288,802816,350863360,64323584,17870848,14704640,13795328,16769024,204800,417792,63246336,36864
12288,12288,24080384,12288,12288,802816,497557504,64323584,17870848,14704640,13795328,16769024,204800,417792,63246336,36864
12288,12288,24080384,12288,12288,802816,497557504,64323584,17870848,14704640,13795328,16769024,204800,417792,63246336,36864
12288,12288,24080384,12288,12288,802816,594432000,64323584,17870848,14704640,13795328,16769024,204800,417792,63303680,36864
12288,110592,24080384,12288,12288,802816,594432000,64323584,17870848,14704640,222085120,16769024,204800,417792,63303680,36864
12288,110592,24080384,53248,53248,802816,601833472,64323584,17870848,14852096,222085120,16769024,258048,483328,63303680,36864
90112,114688,24080384,53248,53248,802816,601833472,64323584,18018304,14852096,363003904,16891904,258048,483328,63303680,90112
135168,753664,24080384,53248,53248,839680,601833472,64323584,20320256,14852096,492142592,16891904,258048,483328,63303680,90112
135168,753664,24154112,53248,53248,839680,601833472,64323584,20320256,24866816,507764736,24051712,258048,483328,63303680,90112
135168,753664,24207360,53248,53248,839680,601833472,64323584,35880960,39112704,507764736,35004416,258048,483328,63303680,90112
135168,753664,24207360,53248,53248,839680,601833472,64323584,38133760,39112704,516845568,35004416,258048,483328,63303680,90112
135168,753664,24207360,53248,53248,839680,601833472,64323584,38133760,39112704,516845568,35004416,258048,483328,63303680,90112
135168,753664,24207360,53248,53248,839680,601833472,64323584,38133760,39112704,516845568,35004416,258048,483328,63303680,90112
135168,753664,24207360,53248,53248,839680,601833472,64323584,38133760,39112704,516845568,35004416,258048,483328,63303680,90112
